donor_state,scm_weight,outcome
PR,0.42588603288301735,Retail volume
RS,0.3428333173238606,Retail volume
MS,0.23128064978995488,Retail volume
BA,2.924879152806615e-12,Retail volume
MG,2.403183061391055e-13,Retail volume
MS,0.7413620343373984,Services volume
RS,0.12175502600680992,Services volume
SP,0.11891313686103554,Services volume
PR,0.01796980278722717,Services volume
CE,3.457669052666661e-12,Services volume
PR,0.7058889566714266,Formal hiring
MT,0.29411104331611937,Formal hiring
GO,1.0180188753892915e-11,Formal hiring
MA,1.5001148523968981e-12,Formal hiring
PI,7.733876744517988e-13,Formal hiring
PR,0.523583602941161,Construction
RS,0.3345652437164701,Construction
RO,0.12699233971011567,Construction
SP,0.01485881362895442,Construction
PB,2.057278563870144e-12,Construction
MS,0.6003666308557281,ICMS
PR,0.39963336913422665,ICMS
BA,4.531852147283521e-12,ICMS
PA,2.307598905186478e-12,ICMS
CE,1.4461850501317946e-12,ICMS
MS,0.41240296103595314,Tax revenue
RS,0.32375903436351616,Tax revenue
PR,0.25634769684541053,Tax revenue
PB,0.00419576788110149,Tax revenue
PI,0.00329453986656258,Tax revenue
PR,0.5183029457211153,Public investment
MT,0.32229347769666444,Public investment
SP,0.1510844315962784,Public investment
CE,0.0083191449831597,Public investment
BA,1.5682687725451576e-12,Public investment
PR,0.5894176811630716,Total expenditure
RS,0.2245158422131427,Total expenditure
ES,0.09502983771788796,Total expenditure
GO,0.09103663890408673,Total expenditure
CE,1.6419550635580377e-12,Total expenditure
