Channel,Outcome,Mean gap post,RMSPE pre,RMSPE post,Donors,Freq
Household consumption,"Retail volume index (PMC, SA level)", 0.95, 3.91, 3.03,21,monthly
Household consumption,"Services volume index (PMS, SA level)", 0.55, 3.03, 4.73,21,monthly
Formal labor market,Formal hiring balance per 100k pop,-7.96,92.75,46.96,21,monthly
Formal labor market,Construction hiring balance per 100k pop, 8.81, 8.27,11.44,21,monthly
State public finances,"ICMS revenue, log real per capita (SICONFI)",-0.03, 0.08, 0.10,19,bimonthly
State public finances,"Own tax revenue, log real per capita (SICONFI)", 0.01, 0.08, 0.08,21,bimonthly
State public finances,"Public investment, log real per capita (SICONFI)", 0.09, 0.49, 0.60,20,bimonthly
State public finances,"Total liquidated expenditure, log real per capita (SICONFI)", 0.14, 0.16, 0.17,20,bimonthly
