dropped_donor,period_date,event_time,loo_gap
AP,2016-02-01,-15,-0.03150672693517098
AP,2016-03-01,-14,-0.034307517126293874
AP,2016-04-01,-13,-0.05101862724588191
AP,2016-05-01,-12,-0.05987679233284293
AP,2016-06-01,-11,-0.054087358414976805
AP,2016-07-01,-10,-0.04926630174659863
AP,2016-08-01,-9,-0.05881527817678922
AP,2016-09-01,-8,-0.037150042020795304
AP,2016-10-01,-7,-0.04058579326077183
AP,2016-11-01,-6,-0.04776113148912309
AP,2016-12-01,-5,-0.03330068324955171
AP,2017-01-01,-4,-0.027151692352473056
AP,2017-02-01,-3,-0.01584390148482928
AP,2017-03-01,-2,-0.03311078810023105
AP,2017-04-01,-1,-0.023781483838218875
AP,2017-05-01,0,0.008989030770266027
AP,2017-06-01,1,0.007907952532150375
AP,2017-07-01,2,0.015486572586620895
AP,2017-08-01,3,0.03151563624365483
AP,2017-09-01,4,0.05459059091153584
AP,2017-10-01,5,0.06072232359610208
AP,2017-11-01,6,0.061086012651951016
AP,2017-12-01,7,0.06397073742144599
AP,2018-01-01,8,0.042752235318951115
AP,2018-02-01,9,0.07750668931387672
AP,2018-03-01,10,0.07535596549502266
AP,2018-04-01,11,0.07348076239251711
AP,2018-05-01,12,0.07729924806511246
AP,2018-06-01,13,0.07912310578011006
AP,2018-07-01,14,0.09154782741695833
AP,2018-08-01,15,0.0569255558647086
AP,2018-09-01,16,0.05070814289209036
AP,2018-10-01,17,0.041310943968347225
AP,2018-11-01,18,0.03870455896740577
AP,2018-12-01,19,0.037498217155929936
AP,2019-01-01,20,0.03138912118278814
AP,2019-02-01,21,0.049565536576336555
AP,2019-03-01,22,0.04098024401838707
AP,2019-04-01,23,0.03494323144882738
BA,2014-10-01,-31,0.05202017698725303
BA,2014-11-01,-30,0.06248722717166366
BA,2014-12-01,-29,0.023628235881481885
BA,2015-01-01,-28,0.024256173295150063
BA,2015-02-01,-27,0.025958242155946998
BA,2015-03-01,-26,0.031388878802630416
BA,2015-04-01,-25,0.03778648489845082
BA,2015-05-01,-24,0.027959368405624296
BA,2015-06-01,-23,0.048604033820708104
BA,2015-07-01,-22,0.05375801387980772
BA,2015-08-01,-21,0.04269635724805987
BA,2015-09-01,-20,0.021812627599820722
BA,2015-10-01,-19,0.0345997485189411
BA,2015-11-01,-18,0.004666437958146474
BA,2015-12-01,-17,-0.009903095225515912
BA,2016-01-01,-16,-0.022383734274018074
BA,2016-02-01,-15,-0.034201692395783745
BA,2016-03-01,-14,-0.03803867881898437
BA,2016-04-01,-13,-0.05423139514304243
BA,2016-05-01,-12,-0.06289532144697318
BA,2016-06-01,-11,-0.05632431293934914
BA,2016-07-01,-10,-0.05129409968019871
BA,2016-08-01,-9,-0.061607687525270904
BA,2016-09-01,-8,-0.039701844924824314
BA,2016-10-01,-7,-0.04250323431103986
BA,2016-11-01,-6,-0.04715830208891081
BA,2016-12-01,-5,-0.032579837115820354
BA,2017-01-01,-4,-0.02573483435321755
BA,2017-02-01,-3,-0.013569166360062113
BA,2017-03-01,-2,-0.03056074837470213
BA,2017-04-01,-1,-0.02235948547428901
BA,2017-05-01,0,0.007108312937907257
BA,2017-06-01,1,0.007287983356168759
BA,2017-07-01,2,0.013129865708328303
BA,2017-08-01,3,0.027872395478501844
BA,2017-09-01,4,0.051290594239000065
BA,2017-10-01,5,0.058815165330036834
BA,2017-11-01,6,0.06120589703826518
BA,2017-12-01,7,0.06416224109393642
BA,2018-01-01,8,0.0447034670042763
BA,2018-02-01,9,0.0806589868099854
BA,2018-03-01,10,0.07787790413033857
BA,2018-04-01,11,0.07677105088027769
BA,2018-05-01,12,0.07953484428818225
BA,2018-06-01,13,0.07974900854155198
BA,2018-07-01,14,0.0916607784605592
BA,2018-08-01,15,0.05634717940639966
BA,2018-09-01,16,0.05165561612519021
BA,2018-10-01,17,0.04006615719904083
BA,2018-11-01,18,0.037627070718312616
BA,2018-12-01,19,0.03805296311826023
BA,2019-01-01,20,0.03251212378019286
BA,2019-02-01,21,0.052090121384147814
BA,2019-03-01,22,0.043341454788504485
BA,2019-04-01,23,0.03851641669295258
CE,2014-10-01,-31,0.04230148136961809
