state_abbrev,monthly_pre_periods,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,36,0.11773333333333333,0.4890833333333333,2611.4,0.11023866757268833,254.5770897944567,339.19233638144385,152.59709190070814,TRUE,FALSE,
AL,36,0.1486,0.5394166666666667,2125.9333333333334,0.09023423457292198,86.31678075490592,63.086347128781355,86.14127949461886,TRUE,FALSE,
AM,36,0.1328,0.44225000000000003,2599.266666666667,0.0390274703881779,164.72908885454254,151.85747522539512,96.38375204985331,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01
AP,36,0.16126666666666667,0.5083333333333333,3112.133333333333,0.12453623406649136,198.19843938590736,294.7968313889578,145.944005994268,TRUE,FALSE,
BA,36,0.15526666666666666,0.4539166666666667,2196.733333333333,0.06612431809588074,107.35942216668073,81.81842378359285,69.41428583745869,TRUE,FALSE,
CE,36,0.11366666666666667,0.45583333333333337,2166.5333333333333,0.07380823979880294,87.8683178545229,84.05923241956984,59.51492781240258,TRUE,FALSE,
DF,36,0.12106666666666667,0.7306666666666667,5981.4,0.007406939515172871,415.78197405497383,478.19055486854666,63.046256230348,TRUE,FALSE,
ES,36,0.1136,0.6069166666666667,3135.8,0.07391217208335506,154.35647890375816,82.28516617700654,85.78444358653047,TRUE,FALSE,
GO,36,0.096,0.6029166666666667,3096.133333333333,0.026986750028008828,124.54223046171161,161.8773738443489,105.71110777757094,TRUE,FALSE,
MA,36,0.12413333333333333,0.3763333333333333,1770.4666666666667,0.09480264919063364,70.44114857286762,90.15061479513278,54.517231760407896,TRUE,FALSE,
MG,36,0.10780000000000001,0.6126666666666667,2928.266666666667,0.018085126168848057,77.03071525914642,108.4990928850974,171.5832306016064,TRUE,FALSE,
MS,36,0.0756,0.6375,3282,0.025541798402401433,97.09836107160116,161.25947085692235,115.82506403112586,TRUE,FALSE,
MT,36,0.08246666666666666,0.6204999999999999,3290.3333333333335,0.03143790191316021,117.87220043628962,179.00683246288006,138.24289912171233,TRUE,FALSE,
PA,36,0.1082,0.38725,2146.9333333333334,0.030464010208865775,79.55651960999643,100.91301113518473,73.52784608126699,TRUE,FALSE,
PB,36,0.11013333333333333,0.47933333333333333,2331.133333333333,0.08001045870005791,80.22145535153157,120.5387843610056,72.29703957875137,TRUE,FALSE,
PE,36,0.14813333333333334,0.5196666666666666,2523.3333333333335,0.05139766033531405,132.93962891170008,81.50496930075815,67.68269834794117,TRUE,FALSE,
PI,36,0.10673333333333333,0.41274999999999995,2067.2,0.08811328174714562,112.24886465094266,108.36030025818793,47.66479708377688,TRUE,FALSE,
PR,36,0.08026666666666667,0.6628333333333333,3549.866666666667,0.021478537290437794,98.77779359904082,225.30109732841046,85.2533613206043,TRUE,FALSE,
RJ,36,0.1226,0.6520833333333333,3600.733333333333,0.01134508937649817,80.06475367941913,94.48717942559462,139.50940586996632,TRUE,FALSE,
RN,36,0.13706666666666667,0.5365833333333334,2442.6666666666665,0.07293948115362968,92.06965153869244,96.52815367496848,66.73149955004567,TRUE,FALSE,
RO,36,0.07680000000000001,0.5083333333333333,2660.0666666666666,0.07726345094244669,139.97546401043806,156.34802321433034,120.88710958762576,TRUE,FALSE,
RR,36,0.09733333333333333,0.5631666666666667,3249.6,0.12881850902453124,283.6437742765044,314.19147047001616,175.09956526742795,FALSE,TRUE,treated_unit
RS,36,0.07873333333333334,0.6700833333333334,3602.2,0.03395409745669677,126.60647083893618,96.49174943202401,83.22588996831131,TRUE,FALSE,
SC,36,0.060066666666666664,0.7281666666666666,3558.866666666667,0.019075631870723385,109.61069287230671,118.16491554385993,82.91482428072418,TRUE,FALSE,
SE,36,0.13426666666666667,0.48141666666666666,2434.4,0.09324102220569132,119.13114800479141,107.33623889138029,97.28501431605844,TRUE,FALSE,
SP,36,0.122,0.7113333333333334,4402.533333333334,0.021406927755657244,130.28193635915508,184.5669909124391,66.63453046732208,TRUE,FALSE,
TO,36,0.10673333333333333,0.56275,2715.4,0.10202745189998712,241.54889482664677,184.69804040265993,133.33931422643562,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01
