Covariate,Treated,Retail SA,Services SA
Unemployment rate (SA),    0.091,    0.080,    0.094
Formalization rate (SA),    0.461,    0.552,    0.508
"Labor income (SA, R$)","2,770.049","2,798.492","2,469.258"
Transfer dependency ratio (SA),    0.000,    0.000,    0.000
"Health expenditure pc (SA, R$)",  185.049,  149.390,  128.627
"Education expenditure pc (SA, R$)",  165.177,  144.151,  166.262
"Public security expenditure pc (SA, R$)",  100.635,   82.369,   89.149
