Outcome,Treated,Synthetic,RMSPE pre
Formal hiring SA,-41.52,-38.85,35.57
Construction SA,-12.36,-12.14,13.56
Retail SA,101.92,101.93,1.35
Services SA,103.72,103.74,1.68
Own tax revenue SA,524.75,524.75,0.02
ICMS SA,466.14,466.14,0.04
Public investment SA,55.81,55.81,0.00
Total expenditure SA,"1,019.72","1,019.72",0.03
