donor_state,scm_weight
GO,0.5574193744491847
MG,0.2507677654774358
SE,0.12086529979758201
RN,0.05728094458804115
AP,0.012240901277346393
BA,0.0014257144104094983
PA,4.1576559903661117e-16
MT,6.668404070457805e-17
PR,1.4754636281867493e-17
PB,1.0117298621680842e-17
MS,7.047137878208464e-18
AC,0
AL,0
CE,0
DF,0
ES,0
MA,0
PE,0
PI,0
RO,0
SP,0
