donor_state,weight
AL,-1.1617768894115055
RJ,1.1176645158747596
AC,0.9167208586978796
BA,-0.804659783889005
PE,0.6370993015140404
MG,0.621242443473915
SP,-0.5982249747421793
GO,0.5010917036229049
MT,0.4858331030497319
RN,0.483617653737064
RO,-0.48317574850147094
CE,-0.4655451810774528
PI,0.43325943957038293
MA,0.33179561930766793
PR,-0.32344850680056514
PA,-0.20732593563923035
RS,-0.205487453158935
SE,-0.18137011712843493
PB,0.17755029959626684
ES,-0.14624816579821726
DF,-0.09058037096690835
SC,-0.03206494764632107
AP,-0.030962435136499922
MS,0.024995572715690053
