iteration,step,a_star,b_star,cv_mspe
1,a,0,0,0.08736622270433803
1,a,0.1,0,0.09667838261415589
1,a,0.2,0,0.13584555324380795
1,a,0.30000000000000004,0,0.22090902253444933
1,a,0.4,0,0.378279134944315
1,a,0.5,0,0.7705278748540398
1,a,0.6000000000000001,0,4.919127097061878
1,a,0.7000000000000001,0,11.282978677941404
1,a,0.8,0,13.338262423923146
1,a,0.9,0,15.6254944357781
1,a,1,0,17.83288336796273
1,b,0,0,0.08736622270433803
1,b,0,0.1,0.08804310406990865
1,b,0,0.2,0.09322983500621332
1,b,0,0.30000000000000004,0.1078608643988239
1,b,0,0.4,0.1387699377138514
1,b,0,0.5,0.1847409820438703
1,b,0,0.6000000000000001,0.47240147002932564
1,b,0,0.7000000000000001,1.9450997257156302
1,b,0,0.8,3.7199514260531488
1,b,0,0.9,6.875955854017647
1,b,0,1,38.81281278108302
