iteration,step,a_star,b_star,cv_mspe
1,a,0,0,4.4125658242092305
1,a,0.1,0,4.818692486828343
1,a,0.2,0,6.754848089849293
1,a,0.30000000000000004,0,9.083152466271875
1,a,0.4,0,12.08163032773216
1,a,0.5,0,16.700378827218994
1,a,0.6000000000000001,0,22.034239419593053
1,a,0.7000000000000001,0,25.032227779290356
1,a,0.8,0,27.364260145105
1,a,0.9,0,29.64693662377356
1,a,1,0,32.191958410465666
1,b,0,0,4.4125658242092305
1,b,0,0.1,4.418403388307154
1,b,0,0.2,4.532333046215979
1,b,0,0.30000000000000004,4.831761363231332
1,b,0,0.4,5.266988158206079
1,b,0,0.5,5.773380337467065
1,b,0,0.6000000000000001,6.776918413398872
1,b,0,0.7000000000000001,9.243008202975112
1,b,0,0.8,11.710126222447412
1,b,0,0.9,16.593717081189048
1,b,0,1,47.98491197598691
