iteration,step,a_star,b_star,cv_mspe
1,a,0,0,0.036003734847874086
1,a,0.1,0,0.038878134936755335
1,a,0.2,0,0.05520466935018849
1,a,0.30000000000000004,0,0.09847410739203052
1,a,0.4,0,0.18183084928813345
1,a,0.5,0,0.47560857612775803
1,a,0.6000000000000001,0,0.8652127179710584
1,a,0.7000000000000001,0,4.022608251292191
1,a,0.8,0,6.920487529558942
1,a,0.9,0,11.094087306527197
1,a,1,0,12.38611683740063
1,b,0,0,0.036003734847874086
1,b,0,0.1,0.035985714198556035
1,b,0,0.2,0.03683071425906178
1,b,0,0.30000000000000004,0.04083553530021782
1,b,0,0.4,0.05239104519969278
1,b,0,0.5,0.08479745742819218
1,b,0,0.6000000000000001,0.12719785020184762
1,b,0,0.7000000000000001,0.6036741638087673
1,b,0,0.8,1.1996695800200525
1,b,0,0.9,3.333330005427307
1,b,0,1,43.12606883950094
2,a,0,0.1,0.035985714198556035
2,a,0.1,0.1,0.03610823642970661
2,a,0.2,0.1,0.03629175963167397
2,a,0.30000000000000004,0.1,0.0365310956537334
2,a,0.4,0.1,0.04081237089357412
2,a,0.5,0.1,0.08503133177217327
2,a,0.6000000000000001,0.1,0.19394811852037067
2,a,0.7000000000000001,0.1,0.6251173728522014
2,a,0.8,0.1,3.29269588544979
2,a,0.9,0.1,9.810078760260586
2,a,1,0.1,12.386116837400623
2,b,0,0,0.036003734847874086
2,b,0,0.1,0.035985714198556035
2,b,0,0.2,0.03683071425906178
2,b,0,0.30000000000000004,0.04083553530021782
2,b,0,0.4,0.05239104519969278
2,b,0,0.5,0.08479745742819218
2,b,0,0.6000000000000001,0.12719785020184762
2,b,0,0.7000000000000001,0.6036741638087673
2,b,0,0.8,1.1996695800200525
2,b,0,0.9,3.333330005427307
2,b,0,1,43.12606883950094
