donor_state,weight
RS,-2.3666114565818788
MG,1.808269876184194
MA,1.7139653778097574
PR,-1.4676050549743096
PA,-1.354485299498706
BA,-1.3156674799308057
SC,1.2496593662256494
AC,1.0232553733364573
AL,-0.7872937610975205
CE,0.7730534416249255
RJ,0.7097149252450234
MT,0.6150533067152417
ES,0.5954400488940546
PI,0.5203620208805042
AP,-0.5071587742191366
RN,-0.4399957288689116
RO,-0.36977682642082993
DF,0.3636911111486249
GO,0.2622624851371222
SE,0.07631341161048127
PB,-0.06538796433586398
PE,-0.031910835363469205
SP,-0.02076870248436631
MS,0.015621140833270099
