period_date,analysis_period,treated_value,synthetic_value,gap,outcome,period_variance,period_se,gap_lower,gap_upper,a_star,b_star
2016-01-01,pre,75.68497,76.22367977093597,-0.5387097709359665,retail_volume_index,2.443837746158921,1.5632778851371631,-3.602678123632749,2.525258581760816,0,0.1
2016-02-01,pre,70.67716,70.83590250069392,-0.1587425006939185,retail_volume_index,3.4798648779132035,1.8654395937454538,-3.814936919770037,3.4974519183822,0,0.1
2016-03-01,pre,76.56263,77.50846196520126,-0.9458319652012648,retail_volume_index,2.169006701361745,1.4727548001489403,-3.832378331551672,1.9407144011491426,0,0.1
2016-04-01,pre,74.80731,75.08550919236248,-0.2781991923624787,retail_volume_index,1.413873424936381,1.1890640962271046,-2.6087219962772723,2.052323611552315,0,0.1
2016-05-01,pre,73.98128,79.03790148932976,-5.056621489329757,retail_volume_index,1.4493114009096917,1.2038734987155801,-7.416170188754521,-2.6970727899049933,0,0.1
2016-06-01,pre,74.70406,79.71487750404364,-5.010817504043644,retail_volume_index,1.661890075556823,1.2891431555714916,-7.537491659880082,-2.484143348207205,0,0.1
2016-07-01,pre,80.89928,83.17938931216919,-2.2801093121691878,retail_volume_index,0.5745288723938319,0.7579768284016549,-3.765716596952328,-0.7945020273860477,0,0.1
2016-08-01,pre,84.30665,81.47498737684907,2.831662623150933,retail_volume_index,2.2455967708820217,1.4985315381672892,-0.10540522135436259,5.768730467656229,0,0.1
2016-09-01,pre,83.06761,79.66939055544978,3.3982194445502216,retail_volume_index,2.167669021249554,1.4723005879403683,0.5125633177699536,6.28387557133049,0,0.1
2016-10-01,pre,84.61642,77.51757572741236,7.098844272587641,retail_volume_index,1.3395510650800042,1.1573897636837835,4.830402019692102,9.36728652548318,0,0.1
2016-11-01,pre,83.53225,80.96940375617481,2.5628462438251916,retail_volume_index,4.988490649678521,2.2334929258178815,-1.8147194505028459,6.940411938153229,0,0.1
2016-12-01,pre,99.3817,97.04559315004452,2.3361068499554705,retail_volume_index,2.180362285051949,1.476604986125927,-0.5579857422436119,5.230199442154553,0,0.1
2017-01-01,pre,64.46627,67.28645512141043,-2.8201851214104323,retail_volume_index,2.8767238433333655,1.696090753271583,-6.144461912334145,0.5040916695132802,0,0.1
2017-02-01,pre,64.2192,65.65338932302885,-1.4341893230288463,retail_volume_index,1.785858226363719,1.3363600661362638,-4.053406923033487,1.1850282769757947,0,0.1
2017-03-01,pre,69.30178,68.56067228157039,0.7411077184296033,retail_volume_index,0.8981257935165967,0.9476949897074463,-1.1163403297260481,2.598555766585255,0,0.1
2017-04-01,pre,67.69639,68.324612843177,-0.6282228431769994,retail_volume_index,1.0364918866008042,1.0180824556983605,-2.623627789637881,1.367182103283882,0,0.1
2017-05-01,pre,72.25021,76.36226694524314,-4.11205694524314,retail_volume_index,1.172534526745965,1.0828363342379885,-6.234377161500973,-1.9897367289853065,0,0.1
2017-06-01,pre,72.13115,69.68766543975784,2.443484560242169,retail_volume_index,1.5164826795747164,1.2314555126250872,0.029876106933688806,4.857093013550649,0,0.1
2017-07-01,pre,77.48901,77.30540219392799,0.1836078060720041,retail_volume_index,1.2152922150332504,1.1024029277143863,-1.977062228699705,2.3442778408437133,0,0.1
2017-08-01,pre,80.67494,79.88154896444709,0.793391035552915,retail_volume_index,2.407776107882399,1.5517010368890005,-2.2478871115229833,3.8346691826288133,0,0.1
2017-09-01,pre,79.3483,77.45327352577345,1.8950264742265404,retail_volume_index,2.45369159008121,1.5664263755699501,-1.1751128063241736,4.965165754777255,0,0.1
2017-10-01,pre,77.05308,76.39616578026455,0.656914219735441,retail_volume_index,1.5323101448675405,1.2378651561731353,-1.7692569040809532,3.083085343551835,0,0.1
2017-11-01,pre,78.80251,78.9807849813352,-0.17827498133520692,retail_volume_index,1.1646196184347544,1.0791754345030071,-2.2934199659614642,1.9368700032910504,0,0.1
2017-12-01,pre,88.7178,90.47118978150205,-1.753389781502051,retail_volume_index,2.750338084295628,1.6584143282954438,-5.003822136406305,1.4970425734022035,0,0.1
2018-01-01,pre,73.76368,75.09178142670788,-1.3281014267078888,retail_volume_index,1.1365531803454845,1.066092482079057,-3.4176042957717527,0.7614014423559752,0,0.1
2018-02-01,pre,71.92652,70.23970793527059,1.6868120647294091,retail_volume_index,0.7201749934505607,0.8486312470387599,0.02352538437812668,3.3500987450806914,0,0.1
2018-03-01,pre,78.23377,80.7390946435597,-2.505324643559689,retail_volume_index,1.0278613494506545,1.0138349715070272,-4.492404673980653,-0.5182446131387244,0,0.1
2018-04-01,pre,72.31523,71.95196282027294,0.36326717972706035,retail_volume_index,0.8246528619276392,0.9081039929036978,-1.4165839405812037,2.1431183000353244,0,0.1
2018-05-01,pre,80.35801,79.03603282364658,1.321977176353414,retail_volume_index,2.1857843730727304,1.4784398442522884,-1.5757116716900774,4.219666024396906,0,0.1
2018-06-01,pre,74.04165,72.37314142090871,1.668508579091295,retail_volume_index,0.754938782332755,0.8688721323260143,-0.034449507438212734,3.3714666656208028,0,0.1
2018-07-01,pre,75.31947,75.33307361567617,-0.01360361567617474,retail_volume_index,1.3421037777701832,1.1584920274953052,-2.2842062659437583,2.256999034591409,0,0.1
2018-08-01,pre,79.06464,81.69808156902145,-2.633441569021457,retail_volume_index,1.4225582527286948,1.1927104647519007,-4.971111123919211,-0.2957720141237026,0,0.1
2018-09-01,pre,76.36231,74.46587208333287,1.896437916667125,retail_volume_index,1.870493326257688,1.3676597991670618,-0.784126032803599,4.577001866137849,0,0.1
2018-10-01,pre,81.37346,82.146973415356,-0.7735134153560068,retail_volume_index,0.8530161754303162,0.9235887479989761,-2.5837140979604394,1.0366872672484257,0,0.1
2018-11-01,pre,81.88238,81.72610520048858,0.1562747995114222,retail_volume_index,2.1918151947907836,1.4804780291482829,-2.7454088175220517,3.057958416544896,0,0.1
2019-01-01,post,75.97588,75.23485884330225,0.7410211566977551,retail_volume_index,8.67014275762762,2.9445106142834025,-5.030113599393624,6.512155912789134,0,0.1
2019-02-01,post,69.74148,73.1299938691881,-3.3885138691881025,retail_volume_index,10.094164017996357,3.177131413397368,-9.615577013597779,2.838549275221575,0,0.1
2019-03-01,post,74.8057,82.1571368188053,-7.351436818805297,retail_volume_index,31.643629951308732,5.62526710044143,-18.376757739088557,3.673884101477963,0,0.1
2019-04-01,post,77.9766,69.62916765351548,8.347432346484524,retail_volume_index,16.211448167236505,4.026344268345232,0.45594259116859615,16.23892210180045,0,0.1
2019-05-01,post,82.20942,73.74629188320583,8.463128116794167,retail_volume_index,31.577981139017105,5.619428897941241,-2.550750136854269,19.477006370442602,0,0.1
2019-06-01,post,80.71171,74.92464892358318,5.787061076416819,retail_volume_index,37.21926295095346,6.100759211028858,-6.170207255550736,17.744329408384374,0,0.1
2019-07-01,post,83.9143,83.61632534777917,0.2979746522208302,retail_volume_index,37.978187452453334,6.162644517774275,-11.780586652139956,12.376535956581616,0,0.1
2019-08-01,post,83.47841,93.22880704072921,-9.750397040729212,retail_volume_index,18.964997429756796,4.354882022484283,-18.285808961719354,-1.2149851197390689,0,0.1
2019-09-01,post,81.68445,86.87382224704288,-5.189372247042883,retail_volume_index,9.551567610507655,3.0905610510888883,-11.246760599199357,0.8680161051135915,0,0.1
2019-10-01,post,87.46372,87.90014888086544,-0.4364288808654493,retail_volume_index,14.285977769057157,3.7796795855015484,-7.844464741549762,6.971606979818864,0,0.1
2019-11-01,post,96.77922,87.1078414555402,9.671378544459799,retail_volume_index,23.199578918803255,4.816594120206025,0.2310275407086042,19.111729548210995,0,0.1
2019-12-01,post,96.75467,101.69111672064334,-4.936446720643332,retail_volume_index,75.97547745832354,8.716391309385068,-22.020259762195987,12.147366320909324,0,0.1
2020-01-01,post,78.57083,85.1385708261198,-6.5677408261198025,retail_volume_index,37.22272254980169,6.101042742826974,-18.525564870200135,5.39008321796053,0,0.1
2020-02-01,post,74.50835,87.04345809277112,-12.535108092771125,retail_volume_index,45.04114347747804,6.7112698856086865,-25.688955359092397,0.6187391735501464,0,0.1
2020-03-01,post,70.00188,92.94696249273471,-22.945082492734713,retail_volume_index,45.832891705515756,6.7699993874088165,-36.214037467414215,-9.676127518055207,0,0.1
2020-04-01,post,63.19194,83.03760164099134,-19.845661640991338,retail_volume_index,78.22646742496791,8.844572766672673,-37.18070572231356,-2.510617559669118,0,0.1
2020-05-01,post,74.25646,97.07162567458025,-22.815165674580243,retail_volume_index,53.055165426595096,7.283897680953179,-37.09134279632329,-8.538988552837194,0,0.1
2020-06-01,post,79.59792,99.85231576720318,-20.254395767203178,retail_volume_index,47.341680742988075,6.880529103418434,-33.739985004482975,-6.768806529923381,0,0.1
