period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2011-04-01,pre,102.678911745412,96.08235724184347,4.553652563922558,100.63600980576602,6.596554503568527,2.042901939645972,retail
2011-05-01,pre,104.17892176038,98.13086076354881,2.81356602697904,100.94442679052786,6.048060996831197,3.2344949698521503,retail
2011-06-01,pre,102.298501454039,98.79198275390117,3.6093420862522514,102.40132484015342,3.506518700137832,-0.10282338611442299,retail
2011-07-01,pre,103.16755103021,99.36502950265285,4.523986325097747,103.8890158277506,3.802521527557161,-0.721464797540591,retail
2011-08-01,pre,102.840855663346,99.21210101027764,4.014707518914888,103.22680852919252,3.62875465306837,-0.38595286584651944,retail
2011-09-01,pre,103.876963087077,99.15854241509454,4.338496733436321,103.49703914853086,4.718420671982457,0.3799239385461419,retail
2011-10-01,pre,103.570763072072,99.17857868463678,3.769208534552485,102.94778721918927,4.392184387435222,0.6229758528827318,retail
2011-11-01,pre,103.959018649526,101.28881938634837,3.7941543221713117,105.08297370851967,2.6701992631776363,-1.1239550589936727,retail
2011-12-01,pre,104.704172429046,104.22929620703884,3.559257625110943,107.78855383214979,0.47487622200715407,-3.084381403103791,retail
2012-01-01,pre,103.854053087953,104.17515526418248,2.426809023489459,106.60196428767193,-0.32110217622947346,-2.747911199718928,retail
2012-02-01,pre,104.387130095233,104.34922544661238,2.053005160620891,106.40223060723326,0.037904648620624926,-2.0151005120002594,retail
2012-03-01,pre,106.692552661874,104.87823318367049,0.708513915254337,105.58674709892483,1.8143194782035152,1.1058055629491719,retail
2012-04-01,pre,107.316330009028,106.48699969483823,1.9905485584993348,108.47754825333757,0.829330314189761,-1.1612182443095804,retail
2012-05-01,pre,105.726643257246,105.50698397012934,1.0312032277929597,106.5381871979223,0.21965928711665583,-0.8115439406763016,retail
2012-06-01,pre,108.694918978408,106.10760142511094,0.43257395013078503,106.54017537524173,2.587317553297055,2.154743603166267,retail
2012-07-01,pre,108.45189073141,106.66848755983277,2.1121769184889363,108.78066447832171,1.783403171577234,-0.3287737469117076,retail
2012-08-01,pre,108.066455120936,106.98629144814278,0.36286232432258947,107.34915377246537,1.0801636727932191,0.7173013484706274,retail
2012-09-01,pre,107.858038951804,106.80355291999116,1.1520217321578492,107.95557465214901,1.0544860318128428,-0.0975357003450057,retail
2012-10-01,pre,108.063188857116,106.87714440372352,1.38902964084019,108.26617404456371,1.1860444533924834,-0.20298518744770888,retail
2012-11-01,pre,106.336696172848,105.90709745359425,0.8795811491263982,106.78667860272064,0.4295987192537467,-0.449982429872648,retail
2012-12-01,pre,112.100834400456,108.82079344423822,1.851780734683984,110.6725741789222,3.280040956217775,1.4282602215337903,retail
2013-01-01,pre,109.376917988478,108.35956915885102,1.8851754000121188,110.24474455886313,1.0173488296269824,-0.8678265703851338,retail
2013-02-01,pre,107.949463600335,105.80099428488607,2.548858072892639,108.34985235777872,2.1484693154489207,-0.4003887574437215,retail
2013-03-01,pre,114.029427197809,109.69858720157025,2.2667809101810383,111.96536811175129,4.330839996238751,2.0640590860577106,retail
2013-04-01,pre,111.436408525617,108.2363385560752,1.321555279988455,109.55789383606366,3.2000699695418007,1.8785146895533416,retail
2013-05-01,pre,111.619468274141,109.15922743013154,1.6029175518369112,110.76214498196845,2.460240844009462,0.857323292172552,retail
2013-06-01,pre,111.538300303539,110.74367305933617,1.6605251855054264,112.4041982448416,0.7946272442028288,-0.8658979413025918,retail
2013-07-01,pre,114.650276030383,112.61034421616445,1.9579723907713602,114.56831660693581,2.039931814218548,0.08195942344718787,retail
2013-08-01,pre,114.831047027919,112.81235554284572,2.2730912237244634,115.08544676657019,2.0186914850732762,-0.2543997386511876,retail
2013-09-01,pre,113.660434168424,112.15366471876975,1.4874423606033587,113.6411070793731,1.5067694496542572,0.019327089050904078,retail
2013-10-01,pre,113.367608827599,112.80193466117036,2.1977691384346936,114.99970379960506,0.5656741664286358,-1.6320949720060582,retail
2013-11-01,pre,115.215929105851,112.7587218620108,1.5804633920882003,114.33918525409901,2.4572072438402017,0.8767438517519963,retail
2013-12-01,pre,116.095606478616,116.48019345130879,-0.5641721594650836,115.9160212918437,-0.3845869726927873,0.17958518677230018,retail
2014-01-01,pre,114.394581057459,114.2668992380685,1.3345185397221042,115.6014177777906,0.12768181939050294,-1.2068367203315944,retail
2014-02-01,pre,115.105154452481,113.27855255128087,1.4298557215167012,114.70840827279757,1.826601901200135,0.39674617968343284,retail
2014-03-01,pre,111.705522475953,110.81103602909693,0.19987637645760598,111.01091240555454,0.894486446856078,0.6946100703984683,retail
2014-04-01,post,115.463008087517,111.63497614056762,0.5592658228718027,112.19424196343942,3.8280319469493804,3.2687661240775725,retail
2014-05-01,post,116.753852862213,112.56473810792116,-1.0946434688425102,111.47009463907865,4.189114754291836,5.283758223134342,retail
2014-06-01,post,116.848040738022,110.74711014394401,0.33931896401598927,111.08642910796,6.10093059407798,5.761611630061992,retail
2014-07-01,post,116.224574809469,110.66524506966988,0.29556810706208847,110.96081317673197,5.559329739799125,5.26376163273703,retail
2014-08-01,post,117.63236689983,112.54496278073911,0.47262630226943175,113.01758908300855,5.087404119090891,4.614777816821459,retail
2014-09-01,post,117.305736005867,112.41404721818013,0.3368478037791031,112.75089502195924,4.891688787686874,4.554840983907766,retail
2014-10-01,post,119.051995173478,113.39160759428975,-0.25044502773934335,113.1411625665504,5.660387579188253,5.910832606927599,retail
2014-11-01,post,117.188888348492,113.97479860913407,0.2839388461679129,114.25873745530198,3.214089739357931,2.9301508931900173,retail
2014-12-01,post,119.57343058437,115.49679649659983,0.26786257017370285,115.76465906677353,4.076634087770174,3.808771517596469,retail
2015-01-01,post,117.053050997792,114.64055613601327,0.9386450878076285,115.5792012238209,2.4124948617787254,1.4738497739710965,retail
2015-02-01,post,115.463682674439,112.00325737885322,1.603936376107194,113.60719375496042,3.460425295585779,1.8564889194785792,retail
2015-03-01,post,113.358297863113,111.74766519253745,0.8489109716291408,112.59657616416659,1.6106326705755407,0.7617216989464026,retail
2015-04-01,post,113.852381035458,112.84721117300441,0.6186468645610727,113.46585803756548,1.0051698624535845,0.3865229978925129,retail
2015-05-01,post,114.320885457022,110.8303219579648,0.4727318392412683,111.30305379720606,3.4905634990572025,3.01783165981594,retail
2015-06-01,post,112.054128060957,109.17728175957026,0.6985028714845215,109.87578463105478,2.8768463013867347,2.1783434299022133,retail
2015-07-01,post,111.838249705421,106.73573408854185,0.23948003009643096,106.97521411863828,5.10251561687916,4.863035586782729,retail
2015-08-01,post,110.957699647714,105.79307481924164,-0.0383105339973089,105.75476428524433,5.1646248284723555,5.20293536246966,retail
2015-09-01,post,110.447600425188,105.68874360749656,0.50654276371445,106.19528637121101,4.758856817691438,4.252314053976988,retail
2015-10-01,post,111.82661903963,105.69565677273413,0.3084556957656682,106.0041124684998,6.130962266895878,5.822506571130205,retail
2015-11-01,post,110.273056513278,102.83612910117142,0.36066213574875516,103.19679123692018,7.43692741210657,7.076265276357816,retail
2015-12-01,post,111.636315420216,103.29453617484778,0.24595200607194054,103.54048818091972,8.341779245368215,8.09582723929627,retail
2016-01-01,post,105.401487063515,101.85556449771013,0.7986006468696515,102.65416514457978,3.5459225658048723,2.747321918935228,retail
2016-02-01,post,106.404860906557,102.56306156866005,0.7260443761035018,103.28910594476355,3.8417993378969584,3.1157549617934563,retail
2016-03-01,post,105.917152211908,101.18682775690802,0.48686494095000776,101.67369269785803,4.730324454999987,4.243459514049974,retail
