period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2011-04-01,pre,86.3787445545294,73.49165129457421,-14.663959450371088,58.82769184420312,12.887093259955194,27.55105271032628,formal_hiring
2011-05-01,pre,73.8733668957298,94.81001749969897,9.629365824613501,104.43938332431247,-20.93665060396917,-30.56601642858267,formal_hiring
2011-06-01,pre,156.312244152182,96.70911356461099,20.82086584543367,117.52997941004466,59.603130587571,38.78226474213733,formal_hiring
2011-07-01,pre,68.2821123953496,64.25943397802443,7.472372712204448,71.73180669022888,4.022678417325167,-3.4496942948792793,formal_hiring
2011-08-01,pre,84.0501253952952,67.9066364042391,14.44364516385297,82.35028156809207,16.143488991056103,1.699843827203125,formal_hiring
2011-09-01,pre,92.6896363027225,64.31971354764937,18.72212252781972,83.04183607546909,28.369922755073134,9.647800227253413,formal_hiring
2011-10-01,pre,62.4040615552284,65.03391481494845,7.068843208647012,72.10275802359546,-2.6298532597200435,-9.698696468367054,formal_hiring
2011-11-01,pre,81.263165750927,49.950652157605106,6.517876663365325,56.468528820970434,31.312513593321896,24.794636929956567,formal_hiring
2011-12-01,pre,68.1827016603364,65.741894052487993,6.390179304822318,72.1320733573103,2.440807607848413,-3.9493716969738983,formal_hiring
2012-01-01,pre,87.4802858490833,65.32786873348564,17.84607752745438,83.17394626094003,22.152417115597657,4.306339588143274,formal_hiring
2012-02-01,pre,106.004493691154,66.158574189835,11.014643345525268,77.17321753536027,39.845919501319,28.83127615579373,formal_hiring
2012-03-01,pre,74.2459423915877,66.01527516618003,-14.100630344712403,51.91464482146763,8.230667225407672,22.33129757012007,formal_hiring
2012-04-01,pre,74.3027998582253,58.99788620147371,31.319609022247228,90.31749522372094,15.304913656751587,-16.01469536549564,formal_hiring
2012-05-01,pre,66.2000278536495,51.49536030705383,-1.66837619790276,49.82698410915107,14.704667546595672,16.373043744498432,formal_hiring
2012-06-01,pre,40.620904734462,39.04429160457551,1.1668887302224307,40.211180334797945,1.5766131298864892,0.40972439966405716,formal_hiring
2012-07-01,pre,80.3728093320354,57.49776920763685,21.075970164949403,78.57373937258626,22.875040124398552,1.7990699594491417,formal_hiring
2012-08-01,pre,42.226006485185,31.399663092407796,21.36492907057706,52.764592162984854,10.826343392777208,-10.538585677799851,formal_hiring
2012-09-01,pre,32.9210882355241,19.55204347005882,32.55591368127161,52.10795715133043,13.369044765465283,-19.18686891580633,formal_hiring
2012-10-01,pre,27.3804709924315,28.692115930570417,-2.1322447673018825,26.559871163268532,-1.3116449381389153,0.820599829162969,formal_hiring
2012-11-01,pre,16.2573616788328,23.3054972147815,0.6130413302026517,23.918538544984152,-7.048135535948699,-7.661176866151351,formal_hiring
2012-12-01,pre,10.5948009278103,9.62392877574179,-2.2450701072369865,7.378858668504804,0.9708721520685106,3.215942259305497,formal_hiring
2013-01-01,pre,-23.7690791929133,29.677058354237396,-15.164440056397057,14.512618297840339,-53.4461375471507,-38.281697490753636,formal_hiring
2013-02-01,pre,28.7870534290441,22.80110161688637,13.076918112096095,35.878019728982466,5.9859518121577295,-7.090966299938366,formal_hiring
2013-03-01,pre,46.7744774964738,29.764884409368115,-4.983813645917481,24.781070763450636,17.009593087105685,21.993406733023164,formal_hiring
2013-04-01,pre,66.5091524018303,53.38758937887626,2.5586095441453924,55.94619892302165,13.12156302295405,10.562953478808659,formal_hiring
2013-05-01,pre,27.1998256189468,15.350315822660363,-13.40686733136013,1.9434484913002326,11.849509796286437,25.256377127646566,formal_hiring
2013-06-01,pre,36.146541462431,41.22763142082608,-13.1617740018639,28.065857418962178,-5.081089958395076,8.080684043468825,formal_hiring
2013-07-01,pre,15.0807090274593,24.5961558678128,1.7860747539538624,26.382230621766663,-9.515446840353501,-11.301521594307363,formal_hiring
2013-08-01,pre,31.7989851194474,35.12757687127572,-9.453565806448347,25.674011064827376,-3.32859175182832,6.124974054620026,formal_hiring
2013-09-01,pre,35.2962174228785,64.08266339641095,-3.5537760781673566,60.52888731824359,-28.78644597353245,-25.232669895365092,formal_hiring
2013-10-01,pre,44.2369886145798,47.67849147818819,-21.92918681053348,25.749304667654712,-3.4415028636083917,18.487683946925088,formal_hiring
2013-11-01,pre,24.5028479132797,24.07285870505879,5.572573423247607,29.645432128306396,0.42998920822091335,-5.1425842150266945,formal_hiring
2013-12-01,pre,35.0998061143322,-3.383315529966048,17.630293661846853,14.246978131880805,38.48312164429825,20.852827982451398,formal_hiring
2014-01-01,pre,0.310936293020223,39.64970242417346,-0.03964415113530497,39.610058273038156,-39.33876613115324,-39.29912198001794,formal_hiring
2014-02-01,pre,137.788806899922,98.24603670186585,6.7229174161948455,104.9689541180607,39.54277019805616,32.819852781861314,formal_hiring
2014-03-01,pre,-5.49557165616,11.95474820904875,7.444229946553327,19.398978155602077,-17.45031986520875,-24.894549811762076,formal_hiring
2014-04-01,post,-7.34236160526225,2.6572773144524446,-17.94338205163722,-15.286104737184774,-9.999638919714695,7.943743131922524,formal_hiring
2014-05-01,post,43.2677284878853,-0.9188832498333308,-1.308198873159089,-2.22708212299242,44.18661173771863,45.49481061087772,formal_hiring
2014-06-01,post,10.6367035226987,-11.5325334804736,-3.833643133238111,-15.36617661371171,22.1692370031723,26.00288013641041,formal_hiring
2014-07-01,post,-5.2299178203811,6.4208124898979255,-35.52247787406343,-29.101665384165507,-11.650730310279027,23.871747563784407,formal_hiring
2014-08-01,post,17.3736962532462,13.106855815038134,-0.7293844636967034,12.37747135134143,4.266840438208067,4.996224901904771,formal_hiring
2014-09-01,post,15.9105110458192,22.701179800970344,1.8817043626463883,24.582884163616733,-6.7906687551511435,-8.672373117797532,formal_hiring
2014-10-01,post,13.3040925640099,-21.637118640976663,0.1259578487508785,-21.511160792225784,34.941211204986566,34.81525335623569,formal_hiring
2014-11-01,post,11.6389858731677,0.5295449684624733,0.2523593272049166,0.78190429566739,11.109440904705227,10.85708157750031,formal_hiring
2014-12-01,post,-10.5099401248546,-61.021039594815115,-0.45010543593183183,-61.471145030746946,50.51109946996051,50.961204905892345,formal_hiring
2015-01-01,post,-138.37238943049,-50.09816403058964,-10.294795040033074,-60.392959070622716,-88.27422539990035,-77.97943035986728,formal_hiring
2015-02-01,post,-80.8257024019086,-41.62439141648063,-15.38433229867381,-57.00872371515444,-39.20131098542797,-23.81697868675416,formal_hiring
2015-03-01,post,-15.697548377014,-17.91772076133696,13.255982770334557,-4.661737991002402,2.220172384322959,-11.035810386011597,formal_hiring
2015-04-01,post,-71.8728452433725,-80.44277847378416,-11.993074969477137,-92.4358534432613,8.569933230411664,20.5630081998888,formal_hiring
2015-05-01,post,-95.6712768184094,-90.46842021296362,-26.128983056143984,-116.5974032691076,-5.202856605445774,20.926126450698206,formal_hiring
2015-06-01,post,-83.0436596327223,-80.52701902549609,-1.0919962119562758,-81.61901523745236,-2.5166406072262077,-1.4246443952699366,formal_hiring
2015-07-01,post,-72.1919667097513,-74.43562227794696,-1.653080659575613,-76.08870293752257,2.2436555681956634,3.896736227771271,formal_hiring
2015-08-01,post,-94.5559116500359,-87.26651316323624,-2.82006604892678,-90.08657921216302,-7.289398486799655,-4.469332437872879,formal_hiring
2015-09-01,post,-81.449694830094,-87.1537177608786,-3.4014715183520106,-90.55518927923062,5.704022930784603,9.105494449136614,formal_hiring
2015-10-01,post,-112.345726615661,-92.65906126376119,-0.8943722192752447,-93.55343348303643,-19.686665351899805,-18.792293132624565,formal_hiring
2015-11-01,post,-106.757016157543,-77.79461923879839,0.01925877460090592,-77.77536046419749,-28.962396918744616,-28.981655693345516,formal_hiring
2015-12-01,post,-117.254720104653,-81.25412666320129,-2.108008110134728,-83.36213477333602,-36.00059344145171,-33.89258533131698,formal_hiring
2016-01-01,post,-80.4833377949117,-79.00153561077508,7.999040819834481,-71.0024947909406,-1.481802184136626,-9.480843003971103,formal_hiring
2016-02-01,post,-126.643566477686,-109.36411187393121,-2.0159535257084005,-111.3800653996396,-17.279454603754786,-15.263501078046389,formal_hiring
2016-03-01,post,-101.579562392179,-71.05123042819508,-0.053859081242077465,-71.10508950943716,-30.528331963983916,-30.474472882741836,formal_hiring
