period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2014-05-01,pre,100,100.00000000000001,0,100.00000000000001,-1.4210854715202004e-14,-1.4210854715202004e-14,retail
2014-06-01,pre,94.33939927787236,95.28210472353798,-0.9527618633431154,94.32934286019487,-0.9427054456656236,0.010056417677489549,retail
2014-07-01,pre,92.06321658846404,95.49717605694521,-2.6302429744979574,92.86693308244725,-3.433959468481163,-0.8037164939832024,retail
2014-08-01,pre,94.44385872398853,95.84525236747092,-1.2552415275717048,94.59001083989922,-1.4013936434823933,-0.1461521159106951,retail
2014-09-01,pre,96.16542326994728,96.08497379703982,-1.0541923141804073,95.03078148285941,0.08044947290746052,1.1346417870878724,retail
2014-10-01,pre,97.00476108217283,98.84311398044483,-3.2683881786959064,95.57472580174893,-1.8383528982719923,1.4300352804239083,retail
2014-11-01,pre,95.28074621995428,96.64810885200953,-2.0163136043746563,94.63179524763487,-1.3673626320552472,0.6489509723194118,retail
2014-12-01,pre,93.9787468291452,96.54891992204311,-1.564829535863382,94.98409038617973,-2.5701730928979174,-1.0053435570345357,retail
2015-01-01,pre,91.9496392554898,93.75591872033999,-1.9048098133907785,91.85110890694921,-1.806279464850192,0.09853034854059217,retail
2015-02-01,pre,90.6859030519243,90.1460746342467,-0.061443418016269534,90.08463121623043,0.5398284176775974,0.6012718356938649,retail
2015-03-01,pre,88.1514560482837,91.90889331369064,-1.2452178407368515,90.66367547295378,-3.757437265406935,-2.5122194246700786,retail
2015-04-01,pre,90.78050730748888,89.80305035576879,-0.2321333155917803,89.57091704017701,0.977456951720086,1.2095902673118673,retail
2015-05-01,pre,89.71732861892548,90.24790310886725,-1.6998845137879524,88.5480185950793,-0.5305744899417704,1.1693100238461795,retail
2015-06-01,pre,88.13120678105673,88.5824811479247,0.13539560030982875,88.71787674823453,-0.4512743668679633,-0.586669967177798,retail
2015-07-01,pre,86.46703676239022,87.57718090377259,-0.07626234278960226,87.50091856098298,-1.1101441413823636,-1.033881798592759,retail
2015-08-01,pre,87.6290955624989,86.78797536020822,-0.44205102391996925,86.34592433628825,0.8411202022906821,1.283171226210655,retail
2015-09-01,pre,86.66283984863668,85.68277298092866,-0.31819323942340616,85.36457974150525,0.9800668677080182,1.2982601071314264,retail
2015-10-01,pre,88.20739874540251,85.96206392591301,-0.27029096645767153,85.69177295945535,2.2453348194895,2.515625785947165,retail
2015-11-01,pre,83.03706269962807,83.85829218649948,0.14760392504602995,84.00589611154551,-0.8212294868714167,-0.9688334119174442,retail
2015-12-01,pre,82.33592021876862,83.45934388531327,-0.16801888118041464,83.29132500413286,-1.123423666544653,-0.9554047853642373,retail
2016-01-01,pre,80.59709580208336,82.31578858174451,0.9136539227095731,83.22944250445408,-1.7186927796611542,-2.632346702370725,retail
2016-02-01,pre,82.101882583691,82.70808148472138,-2.012714162857645,80.69536732186373,-0.6061989010303819,1.4065152618272663,retail
2016-03-01,pre,79.29012493841407,82.13766507709038,-0.9312059555386546,81.20645912155172,-2.847540138676308,-1.91633418313765,retail
2016-04-01,pre,79.41454262810318,81.56374132621697,-1.960129405286989,79.60361192092998,-2.1491986981137927,-0.18906929282680096,retail
2016-05-01,pre,77.0506213012406,79.25065682225751,-0.3654180891016461,78.88523873315586,-2.2000355210169147,-1.8346174319152624,retail
2016-06-01,pre,77.88403963522208,79.66527283798514,0.17464998108188828,79.83992281906703,-1.7812332027630617,-1.9558831838449464,retail
2016-07-01,pre,80.26603275400012,79.08311803586837,1.399096166017175,80.48221420188554,1.1829147181317552,-0.21618144788541827,retail
2016-08-01,pre,78.97056399080887,77.77292499793136,0.8392452530587806,78.61217025099013,1.1976389928775149,0.35839373981873734,retail
2016-09-01,pre,76.29723144763507,77.48429441468245,1.1280590889467643,78.61235350362922,-1.1870629670473818,-2.315122055994152,retail
2016-10-01,pre,77.17315036634078,77.72918897005776,0.475378048142719,78.20456701820048,-0.5560386037169849,-1.0314166518597006,retail
2016-11-01,pre,73.52594862259865,76.34666399144118,-0.543912430164538,75.80275156127664,-2.820715368842528,-2.2768029386779887,retail
2016-12-01,pre,78.84841433858192,75.93212569024669,-1.7174888355485534,74.21463685469814,2.9162886483352253,4.633777483883776,retail
2017-01-01,pre,82.74087700547969,78.2682828753804,2.200999319486989,80.46928219486738,4.472594130099296,2.2715948106123136,retail
2017-02-01,pre,82.42658195660343,78.90805002105719,2.571788926742274,81.47983894779946,3.5185319355462354,0.9467430088039634,retail
2017-03-01,pre,83.21493354153915,73.509729335461,9.209848628392024,82.71957796385303,9.70520420607815,0.4953555776861265,retail
2017-04-01,pre,85.69119216068087,76.05043344078133,8.654786443414999,84.70521988419634,9.640758719899537,0.9859722764845316,retail
2017-05-01,post,83.28632487787559,75.77810596518324,8.820761467957732,84.59886743314098,7.508218912692342,-1.312542555265395,retail
