period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmented_synthetic_value,augmented_gap,pseudo_treated_state,outcome,short_label,channel,channel_slug
2016-04-01,pre,-105.5642352082098,-92.23671248665886,-8.222756149262763,-100.45946863592162,-5.10476657228817,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-05-01,pre,-79.49954075131454,-96.19675214727332,16.657608084632546,-79.53914406264077,0.03960331132623196,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-06-01,pre,-45.82699729795531,-60.90238958175923,4.753086966870291,-56.14930261488894,10.32230531693363,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-07-01,pre,-15.839026499879978,-54.44677521844081,27.69403332897842,-26.752741889462392,10.913715389582414,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-08-01,pre,-1.2429034978336295,-29.632376283981326,28.005525131670904,-1.6268511523104223,0.3839476544767928,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-09-01,pre,15.43966383804381,-11.22060838094728,19.255733460618927,8.035125079671648,7.404538758372162,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-10-01,pre,19.25503368364609,-11.031409539735986,16.798873142903833,5.7674636031678475,13.487570080478243,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-11-01,pre,-13.257005397732886,-8.004567062888336,-1.4863566621102848,-9.490923724998622,-3.7660816727342645,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2016-12-01,pre,-36.77049515702853,-38.03533502363827,9.48379965497003,-28.55153536866824,-8.218959788360287,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-01-01,pre,-57.757401625301455,-42.05030961687907,-11.182506507210208,-53.232816124089275,-4.524585501212179,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-02-01,pre,-63.73585209132956,-48.52529273280962,-9.821807377283859,-58.34710011009348,-5.388751981236084,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-03-01,pre,-77.08296908751488,-55.7304669144143,-24.323846657830014,-80.05431357224431,2.9713444847294284,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-04-01,pre,-76.82427445263917,-51.174084797013784,-30.09458966394448,-81.26867446095827,4.444400008319093,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-05-01,pre,-42.938384444231005,-44.606812827534704,-6.6311160302770755,-51.23792885781178,8.299544413580776,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-06-01,pre,-17.887281072773753,-8.87238026309163,-22.26630200275887,-31.1386822658505,13.251401193076745,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-07-01,pre,-11.911797934301758,2.486455516788413,4.099596284713014,6.586051801501426,-18.497849735803186,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-08-01,pre,-1.1750035947108255,4.893105941694947,4.692732715078667,9.585838656773614,-10.760842251484439,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-09-01,pre,20.07258514796203,10.218947718527149,2.255374349826834,12.474322068353983,7.5982630796080475,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-10-01,pre,23.217129645243368,11.876843764911742,19.84011655613202,31.716960321043764,-8.499830675800396,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-11-01,pre,8.041934130008732,5.5059852227215504,-1.1033270075328199,4.402658215188731,3.6392759148200016,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2017-12-01,pre,-9.927293064876958,-23.293609483391638,5.258063093567572,-18.035546389824066,8.108253324947109,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-01-01,pre,-26.79854817958816,-18.598499380253287,-15.31570377389957,-33.91420315415286,7.115654974564698,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-02-01,pre,-42.564636776247525,-13.858433900884,-25.08549083669516,-38.94392473757916,-3.6207120386683656,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-03-01,pre,-52.962118935523726,-25.916921027789968,-31.11515752411965,-57.03207855190962,4.069959616385894,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-04-01,pre,-40.56474710711914,-22.295066780662346,-29.82294232508935,-52.118009105751696,11.553261998632557,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-05-01,pre,-36.25218426881254,-13.546935313742011,-10.768967441543285,-24.315902755285297,-11.936281513527245,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-06-01,pre,-20.06633499170813,5.521152031393987,-17.189074518022036,-11.667922486628049,-8.39841250508008,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-07-01,pre,0.26928200527417445,9.763013100174119,-3.9418356763470426,5.821177423827076,-5.551895418552902,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-08-01,pre,7.39956864131075,18.409276035920357,-13.713111133788834,4.696164902131523,2.703403739179227,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-09-01,pre,19.525867928118966,37.07803671030971,-8.29710492328908,28.78093178702063,-9.255063858901664,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
2018-10-01,pre,18.73328068512248,31.300285526570335,-22.577377360533326,8.722908166037008,10.010372519085472,AC,formal_hiring_balance_per_100k_wap_ma6_clean,"Emprego formal, MM6",Mercado de trabalho,labor_market
