outcome,short_label,channel,channel_slug,pseudo_treated_state,pre_rmspe,crisis_rmspe,post_rmspe,mean_gap_crisis,mean_gap_post,post_pre_rmspe_ratio,abs_post_mean_gap
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,AC,3.8244469862359196,,7.578863435682534,,3.4610416294456483,1.9816887155080607,3.4610416294456483
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,AL,1.4690207111576767,,2.350504582972402,,1.383401232765911,1.6000486345220162,1.383401232765911
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,AP,2.762973942160305,,3.950654281700415,,1.3485652420007728,1.429855787424289,1.3485652420007728
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,BA,1.5793440608838072,,5.72274158045858,,5.032841954803421,3.623492639885011,5.032841954803421
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,CE,0.9781539969403078,,3.348817815199764,,-2.6055342761942035,3.4236100099523767,2.6055342761942035
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,DF,3.3542179709953115,,5.756239958563537,,1.5843769591222436,1.7161198253479821,1.5843769591222436
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,ES,1.9094080185046713,,3.0386538521834754,,-2.2130162175235313,1.591411486039091,2.2130162175235313
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,GO,1.841683776957887,,1.2788690948637937,,-0.8304506812595506,0.6944021068460751,0.8304506812595506
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,MA,1.6238672298266177,,7.951768821111722,,-4.179879561373841,4.896809711444662,4.179879561373841
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,MG,3.401479477841528,,8.675048634174418,,8.495274323152238,2.55037512079283,8.495274323152238
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,MS,3.418244028672564,,7.362341482302523,,-7.038224370128191,2.1538372979069034,7.038224370128191
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,MT,2.5468237255133648,,9.32722506791721,,-8.065214236265392,3.6622970700640525,8.065214236265392
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,PA,2.2759149475726965,,3.923146612094382,,-0.6762873745328989,1.7237667937804473,0.6762873745328989
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,PB,1.0165643724889495,,5.63078037045823,,-5.328730253508976,5.539029817336471,5.328730253508976
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,PE,1.0553329237296682,,5.695969032624563,,-5.5927482969658335,5.397319561010522,5.5927482969658335
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,PI,1.3714741594682593,,12.336455436181623,,11.721129055806948,8.995033082478672,11.721129055806948
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,PR,0.8811572907843974,,5.4226458975284535,,4.419857716798887,6.154004460090512,4.419857716798887
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,RJ,2.065108929297436,,4.578085963440009,,4.403663551362654,2.216873840644089,4.403663551362654
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,RN,1.3990917805922614,,1.8008688330850182,,0.2723596472002035,1.2871699041235716,0.2723596472002035
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,RO,2.121542692629003,,6.8919266438535365,,0.4217222047246058,3.248544876234898,0.4217222047246058
formal_hiring_balance_construction_per_100k_wap_ma6_clean,"Construcao civil, MM6",Mercado de trabalho,labor_market,RR,3.418285574276583,,13.910922449236692,,3.3228525091111263,4.069561230904671,3.3228525091111263
