outcome,donor_state,weight
formal_hiring_balance_ma3,MS,0.5912371735272877
formal_hiring_balance_ma3,MA,0.15122287043082375
formal_hiring_balance_ma3,AP,0.12121654962155401
formal_hiring_balance_ma3,SC,0.04877974228343761
formal_hiring_balance_ma3,ES,0.04530417830286467
formal_hiring_balance_ma3,PA,0.0300556318468657
formal_hiring_balance_ma3,MT,0.012183853987164244
formal_hiring_balance_ma3,RN,1.0477712699009292e-15
formal_hiring_balance_ma3,DF,7.931385768362782e-16
formal_hiring_balance_ma3,AC,2.888693627119533e-16
formal_hiring_balance_ma3,PB,2.1437883103694068e-16
formal_hiring_balance_ma3,CE,1.1840427712869393e-16
formal_hiring_balance_ma3,PE,2.6709472748217194e-17
formal_hiring_balance_ma3,AL,0
formal_hiring_balance_ma3,BA,0
formal_hiring_balance_ma3,GO,0
formal_hiring_balance_ma3,MG,0
formal_hiring_balance_ma3,PI,0
formal_hiring_balance_ma3,PR,0
formal_hiring_balance_ma3,RJ,0
formal_hiring_balance_ma3,RO,0
formal_hiring_balance_ma3,RS,0
formal_hiring_balance_ma3,SE,0
formal_hiring_balance_ma3,SP,0
