scm_rmspe_event,scm_rmspe_post,scm_rmspe_pre,augmented_rmspe_event,augmented_rmspe_post,augmented_rmspe_pre,scm_mean_gap_event,scm_mean_gap_post,scm_mean_gap_pre,augmented_mean_gap_event,augmented_mean_gap_post,augmented_mean_gap_pre,n_periods_event,n_periods_post,n_periods_pre,scm_rmspe_crisis,augmented_rmspe_crisis,scm_mean_gap_crisis,augmented_mean_gap_crisis,n_periods_crisis,outcome,donor_count,family,specification,status,skip_reason
14.07359542868466,40.501189192470044,44.114069205907555,31.673117172093768,45.01221359036678,31.303816519040794,-14.07359542868466,9.924073339002197,-18.665052820048697,-31.673117172093768,7.959853464808343,-11.243613962853106,1,31,36,14.07359542868466,31.673117172093768,-14.07359542868466,-31.673117172093768,1,formal_hiring_balance_per_100k_wap,24,monthly,raw,estimated,
7.704733900554455,8.508391751061467,13.73898581071111,8.30931473040227,8.5080122030477,11.073961362876487,-7.704733900554455,0.42686714571826573,2.6998946958506567,-8.30931473040227,0.5028054551959449,-0.01587907219992451,1,31,36,7.704733900554455,8.30931473040227,-7.704733900554455,-8.30931473040227,1,formal_hiring_balance_construction_per_100k_wap,24,monthly,raw,estimated,
2.0944146522143257,11.085059654713053,2.615281289778759,2.120090685727959,11.838092118802848,2.2576065694438556,2.0944146522143257,9.94235428510631,-0.04052912595482086,2.120090685727959,10.607906270748781,0.07222823255952132,1,31,36,2.0944146522143257,2.120090685727959,2.0944146522143257,2.120090685727959,1,retail_volume_index,24,monthly,raw,estimated,
1.4184735834038378,5.130024988262512,5.05728044239503,1.9717638081968687,7.613265687680805,2.1952843008979457,-1.4184735834038378,1.637147763377755,-3.7585313987300553,1.9717638081968687,5.982931784097632,-0.21913417626658888,1,31,36,1.4184735834038378,1.9717638081968687,-1.4184735834038378,1.9717638081968687,1,services_volume_index,24,monthly,raw,estimated,
,18.094022228595037,22.40616766981919,,18.3740976574688,4.790098283180125,,7.214166074973923,-5.846709751979492,,4.257436201739653,0.52588116833584575,0,26,31,,,,,0,formal_hiring_balance_per_100k_wap_ma6_v5,24,monthly,ma6_v5,estimated,
,4.631390975439095,4.051866977821722,,4.995607911715919,1.6571983310623593,,0.3293374161345608,1.377394503278435,,0.9929196933803733,-0.06082350471223322,0,26,31,,,,,0,formal_hiring_balance_construction_per_100k_wap_ma6_v5,24,monthly,ma6_v5,estimated,
,10.984449861141373,1.3711360890618922,,16.01020999024513,0.4122338170037687,,10.280643133740163,-0.14030282100187808,,15.342812142121906,0.008004766463509514,0,26,31,,,,,0,retail_volume_index_ma6_v5,24,monthly,ma6_v5,estimated,
,1.9225707820470976,4.115458684621609,,4.681362801146478,0.21439968058818143,,-0.2883227579638822,-3.523924216515183,,4.440291826210129,-0.009652533685205127,0,26,31,,,,,0,services_volume_index_ma6_v5,24,monthly,ma6_v5,estimated,
,19.272010302032758,30.669088917271893,,36.008689594922274,34.08080062731352,,10.100491068962345,-11.090067220511228,,1.702715161965505,-3.764947484321648,0,26,31,,,,,0,formal_hiring_balance_per_100k_wap_ma6_v5,24,monthly,ma6_v5_instability,estimated,
,4.44497168577194,12.08634955643937,,4.899184968312498,15.495476249161676,,0.08343963629146368,7.368263368894827,,0.7590486991241189,8.916417378975225,0,26,31,,,,,0,formal_hiring_balance_construction_per_100k_wap_ma6_v5,24,monthly,ma6_v5_instability,estimated,
,11.21301364231117,1.4384819095530814,,13.677406166645413,2.65827566017004,,10.534294186276009,0.00978881232453573,,13.08795287517583,0.6111234555177313,0,26,31,,,,,0,retail_volume_index_ma6_v5,24,monthly,ma6_v5_instability,estimated,
,2.575436900248799,4.232732831760515,,4.411601042866219,0.9341681625134369,,-1.6550497923692409,-3.403363275063994,,3.0418643359772988,-0.1278102037620665,0,26,31,,,,,0,services_volume_index_ma6_v5,24,monthly,ma6_v5_instability,estimated,
