state_abbrev,period_date,icms_siconfi,tax_siconfi,investment_siconfi,totalexp_siconfi,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason
AC,2017-04-01,279.5210055741918,385.2287632476355,112.595357331587,1669.9196793878746,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2017-06-01,296.3859382439438,429.12140343288445,81.21803424774099,1911.8682545359025,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2017-08-01,301.6452631007541,417.5280523372811,72.9535134976244,1567.3724569368649,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2017-10-01,303.5356380669156,425.787784571279,80.42776888877208,1672.928190646406,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2017-12-01,291.785931918866,377.97007251744606,79.69335016704248,1559.8664159459609,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2018-02-01,313.7736518420554,492.15772817951733,103.43691574155162,1767.882929652139,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2018-04-01,317.9405507091256,439.94042437201193,107.09590789378683,1733.043741431396,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2018-06-01,300.7719721284065,415.2143172351048,83.15605831022776,1541.6530822710165,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2018-08-01,332.9728895967443,456.224992020365,104.04002205435755,1678.8833984147338,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2018-10-01,317.2929443401754,450.0740527644857,147.12263444244388,1790.4496147301288,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2018-12-01,498.2031796044354,597.3603132244128,145.76032077443233,1583.3099837544019,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2019-02-01,395.40939970015495,432.71225443313074,70.08601938529016,1688.3694426627724,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2019-04-01,259.79348706619913,436.5162374329744,48.18381234402853,1515.7276176086098,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2019-06-01,298.42188291726353,433.46752688858385,43.059429712693714,1749.9376500550507,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2019-08-01,402.2313243812653,534.1287823146645,15.033038058004792,1804.783217713115,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2019-10-01,323.2581215887154,470.15434090204263,19.954905041334513,1638.9126923644253,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2019-12-01,301.5361817689807,429.83623345877174,25.533371236534308,1310.9816351227187,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2020-02-01,309.78020498984824,420.94204340773166,105.93250830855854,1764.3235268646536,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2020-04-01,299.20397296654346,435.9959640529743,63.83307319728054,1633.1927524141247,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2020-06-01,244.96258703016053,352.6455545646255,40.048678536618134,1561.8242709491592,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2020-08-01,302.01311120949464,437.05286553510194,48.79293458218467,1733.5840323913346,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2020-10-01,345.423502930106,496.0333353306707,28.22674647624154,1542.907010679686,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2020-12-01,334.4451252286722,480.1321615464071,18.0041833160726,1309.7510782200516,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2021-02-01,426.55398614076705,544.7849645696659,79.8339014629867,1712.5412148873463,FALSE,TRUE,FALSE,pre,TRUE,2020-09-03,2021-03-30,
AC,2021-04-01,343.20623174273663,471.4834995802023,65.44918722696755,1733.0618336372863,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2021-06-01,342.8511715433489,499.6473681872139,88.19905838556775,1781.8877721632657,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2021-08-01,325.7172951168856,469.366970576106,63.76604469210038,1462.2875644133946,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2021-10-01,354.3253243543519,483.3387331581347,79.59146887745344,1631.97939403566,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2021-12-01,278.56881402181995,469.54612182186776,108.1257230567757,1769.3027462525038,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2022-02-01,373.8952395305927,523.1313790470375,86.19389896018355,1833.7536974202565,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2022-04-01,371.9899832161254,542.7422640418679,101.95287020145773,1959.5983519500064,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2022-06-01,394.08148098447407,553.5363854059195,139.61436869264725,2116.860349648905,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2022-08-01,367.11397342765724,532.2196680236026,147.86323487792367,2262.8005732633756,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2022-10-01,331.13911228774424,518.8323921073887,212.02132086717637,2219.400179163856,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2022-12-01,342.78768976758846,571.7124226190052,346.62018008846945,2356.803560019193,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AC,2023-02-01,349.4377731371715,473.4727616860417,81.96497953689254,1907.2340959854012,FALSE,TRUE,FALSE,post,FALSE,2020-09-03,2021-03-30,
AL,2017-04-01,264.51407762799636,308.28075819863005,63.120495070092424,642.7691831390287,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2017-06-01,257.87070876827045,315.9089236743241,54.86741777619788,699.938141923891,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2017-08-01,252.19462261842182,302.1720878542079,47.84623293122745,668.957058338925,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2017-10-01,253.48984190226494,313.5010842467909,42.90112219874775,700.5247847887209,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2017-12-01,249.24870066790254,323.68441787010556,41.900822539532186,639.6504772165733,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2018-02-01,200.91155632810117,232.48430748372624,55.76145398366046,666.9457504632503,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2018-04-01,198.91516058591762,228.85991691006166,101.41889657267281,675.0136777188483,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2018-06-01,197.39596344116103,257.4565992630299,72.67452404076563,623.5085670656488,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2018-08-01,209.325529775019,270.37196418712796,69.24991117754628,644.7708110415175,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2018-10-01,212.1380499822177,255.10038853147586,64.82775288371626,785.9287023177383,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2018-12-01,191.96145544910723,269.4844076675843,72.84518787749975,440.71562249720637,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2019-02-01,198.00567314490326,245.1118916253343,66.10496662349779,732.0911294518569,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2019-04-01,204.6564076699471,257.0250426986239,64.90791651237184,651.3772799681612,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2019-06-01,202.84845221626742,256.9215195044438,48.86230641973877,656.9727481269496,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2019-08-01,200.56577627161948,257.8504416310504,29.900713590508893,636.3878411283175,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2019-10-01,209.87639539086834,270.1614333999631,48.6682685763534,683.1963100646219,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2019-12-01,219.35653835277083,267.6135603673853,55.135203235048294,348.4365675306934,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2020-02-01,203.02342731658652,256.95492376384345,53.81469296682517,890.07819606336,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2020-04-01,189.25663220940146,232.13136271352613,49.61369335121263,617.5775567856377,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2020-06-01,171.7029396303413,247.7218785578657,54.37430021894093,597.9823881036108,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2020-08-01,211.9653558601089,268.6909248235765,48.80726881794266,658.0979192041369,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2020-10-01,220.3396954696552,283.7195985670108,58.675032889598,677.7025016446067,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2020-12-01,239.60514792220363,315.94854708493585,72.04967825886676,489.02520568256114,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2021-02-01,228.6174071712732,282.5471687591134,56.08426429341456,754.537013575198,FALSE,FALSE,TRUE,pre,TRUE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2021-04-01,226.2034325843273,281.18129798774777,87.90735511924296,711.6529936974842,FALSE,FALSE,TRUE,post,FALSE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2021-06-01,218.48889340833944,273.80529326399005,55.760661149541974,694.5616849741003,FALSE,FALSE,TRUE,post,FALSE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2021-08-01,240.22589897444388,298.4379279644416,142.61283585912193,786.8224168176728,FALSE,FALSE,TRUE,post,FALSE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2021-10-01,237.4302403893207,297.36771411106434,124.19835814916834,780.0409708976292,FALSE,FALSE,TRUE,post,FALSE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2021-12-01,225.7556326698574,304.85173298669883,196.9893244479972,865.8143348282752,FALSE,FALSE,TRUE,post,FALSE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
AL,2022-02-01,244.8496497189173,322.4249146896473,75.8073992254109,836.6964492865352,FALSE,FALSE,TRUE,post,FALSE,2020-09-03,2021-03-30,coded_removal_in_scm_window:AL_2022_01
