state_abbrev,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.11580444184358436,0.49669838361851026,2681.0144844362912,0.2726439095078924,257.7676885858951,347.0829076339669,154.597668614333,TRUE,FALSE,
AL,0.14140914605392602,0.5366034721031857,2126.810322522978,0.2216880250527428,91.84569007591824,70.13473755467322,86.58072188672503,FALSE,TRUE,coded_removal_in_scm_window:AL_2022_01
AM,0.12357163764019943,0.4338631003880788,2621.7253029556077,0.11062901938403058,168.61936263779407,156.9621072672762,104.19894130319572,FALSE,TRUE,coded_removal_in_scm_window:AM_2017_01
AP,0.14806378654376004,0.49834542822141,2943.2656871515724,0.28746510116323026,217.29007095744996,302.4695845223616,158.2718514816095,TRUE,FALSE,
BA,0.14938625181499882,0.4587085491099544,2184.4358757844,0.1416882775531641,113.98258466122066,83.22884122274671,70.19932791138089,TRUE,FALSE,
CE,0.10404894392016056,0.4592705178057848,2196.5011309056144,0.16060267913796925,92.78119319217754,83.47558963404919,65.26936198215172,TRUE,FALSE,
DF,0.1159685233248644,0.7213700103696008,5948.16612687547,0.052724049656458674,355.70057864781415,442.9192862823434,65.0387990690675,TRUE,FALSE,
ES,0.10054242240643894,0.6026904969052493,3114.226394675785,0.18384806686926142,160.09119814897275,82.76790492773286,83.57170907279036,TRUE,FALSE,
GO,0.08786718791974873,0.6026639113915647,3101.8194924742015,0.07094495911187128,133.59920746264248,155.39566642337257,107.21229035254981,TRUE,FALSE,
MA,0.11726037288941375,0.3882036584814843,1778.259688447192,0.24173547915849738,74.22791909823366,85.30035885123498,55.34921911173796,TRUE,FALSE,
MG,0.09675780163332752,0.613525879459204,2911.5010049508037,0.049209905703403285,82.39509482405713,108.05981276271588,172.5614257112284,TRUE,FALSE,
MS,0.07135654372505644,0.6349891605642283,3301.825903672518,0.06996807265281493,102.7900628632558,154.7473934302762,110.44282766881456,TRUE,FALSE,
MT,0.07264459933582226,0.6133671252080656,3314.857488201796,0.08430315596248143,120.74271963307136,180.18450820442487,147.91475132890756,TRUE,FALSE,
PA,0.09713752109900045,0.38893082773915166,2206.902560256511,0.1339064293287169,84.55811530216651,101.72264053727321,76.68098358900899,TRUE,FALSE,
PB,0.11024314244946673,0.48419041518247397,2294.820598717146,0.20780519107473994,83.20240527092955,123.6700084846626,75.79023955259898,TRUE,FALSE,
PE,0.13407286325975945,0.5165060629756354,2579.1729257156444,0.13420696225258408,138.65494640070506,79.53681367544588,69.76862790782273,TRUE,FALSE,
PI,0.10183816977729111,0.41617615125328916,2027.5227826167918,0.22909871749936644,122.42429890713954,106.1779457374191,51.94297798040479,TRUE,FALSE,
PR,0.07137088942984539,0.6697577039760049,3574.9346651226015,0.06306801521030116,101.52818468771277,212.21273571879595,80.36123645452867,TRUE,FALSE,
RJ,0.11637728434994729,0.6452276786978915,3691.592289094811,0.0382052770383228,84.78705153995001,93.61449540672648,138.41850621346242,FALSE,TRUE,coded_removal_in_scm_window:RJ_2020_01
RN,0.1310594399289373,0.5378757410940829,2414.3908788486115,0.1950995770701271,97.39333423054391,97.3163132312144,68.03863719200584,TRUE,FALSE,
RO,0.07376119392651084,0.5095056189997497,2681.892689326867,0.1868875170789129,144.15901382205152,157.71943270433644,120.67152662343355,TRUE,FALSE,
RR,0.10547003949041717,0.549529052416404,3275.114406442975,0.2834546421399499,281.73086215622794,283.7744470719671,156.59603854442378,FALSE,TRUE,coded_removal_in_scm_window:RR_2018_01
RS,0.0714095638365186,0.6736145535581488,3588.4559003836584,0.06319266541388482,132.56288911030305,89.22645343491953,91.5509495662005,TRUE,FALSE,
SC,0.051422429940467335,0.7310222767566057,3585.9589341367564,0.05208369940386084,113.23976774811905,116.97565568026533,80.3848314598844,FALSE,TRUE,treated_unit
SE,0.13389216333291476,0.4767591036443279,2433.391964572135,0.23705002627245136,130.07408839943992,108.03152459776598,100.07575013586171,TRUE,FALSE,
SP,0.1091870300066638,0.7041580545816639,4335.188448269522,0.04368834485834333,132.3874575778233,181.87438329198395,64.63384781228636,TRUE,FALSE,
TO,0.1003101627582746,0.5561266432843748,2652.521633248955,0.2398915951386813,249.12525820668952,183.55172673184654,140.68591472226706,FALSE,TRUE,"coded_removal_in_scm_window:TO_2018_01,TO_2021_01"
