Covariate,Treated,Retail volume,Services volume,Formal hiring,Construction,ICMS,Tax revenue
ICMS secondary VA pc, 14.199,16.143,21.418,15.323,20.597, 16.003, 16.009
ICMS tertiary VA pc, 37.046,48.409,40.697,54.519,71.965, 52.664, 52.334
ICMS energy VA pc,  9.989, 8.978, 9.595, 8.381,10.085,  8.717,  8.709
ICMS fuels VA pc, 29.923,23.907,27.607,18.853,22.595, 26.109, 26.015
FPE transfer pc,149.357,98.314,62.851,91.642,95.637,100.505,102.190
IOF-state pc,  0.000, 0.005, 0.005, 0.002, 0.001,  0.005,  0.005
