Outcome,Gap post,LOO rank,p (2-sided)
Retail volume,8.51,2 / 25,0.08
Services volume,-0.86,25 / 25,0.04
Formal hiring,-1.31,24 / 25,0.08
Construction,-8.21,4 / 25,0.16
ICMS,0.06,3 / 25,0.12
Tax revenue,0.03,2 / 25,0.08
