outcome,label,channel,subblock,family,specification,preferred,mean_gap_crisis,mean_gap_post,mean_gap_pre,augmented_rmspe_pre,augmented_rmspe_post,donor_count
formal_hiring_balance_per_100k_wap,Formal hiring balance per 100k working-age population,Formal labor market,,monthly,raw,FALSE,-5.094029026979073,8.282229837150567,-1.5797513517634487,20.422138135148863,22.17719090393813,24
formal_hiring_balance_construction_per_100k_wap,Construction hiring balance per 100k working-age population,Formal labor market,,monthly,raw,FALSE,-22.97044782417969,6.335476900082333,-3.226660281211788,22.811393086260416,34.837286159457,24
retail_volume_index,Retail volume index,Household consumption,,monthly,raw,FALSE,1.5492606107384717,10.342799283933957,0.4175917874997263,3.5857051888111537,11.762305779783,24
services_volume_index,Services volume index,Household consumption,,monthly,raw,FALSE,-0.33637212296829944,3.5298941806030695,0.05109653324070251,3.2251256447207663,5.756668064644624,24
formal_hiring_balance_per_100k_wap_ma6_v4,"Formal hiring balance per 100k working-age population, MA6 V4",Formal labor market,,monthly,ma6_v4,TRUE,7.175236751755964,19.433259297449588,0.2026342615944517,3.5726083413153886,30.83244146004694,24
formal_hiring_balance_construction_per_100k_wap_ma6_v4,"Construction hiring balance per 100k working-age population, MA6 V4",Formal labor market,,monthly,ma6_v4,TRUE,-38.48507231579673,-8.676833441378308,0.16664135176915193,3.4333505430935665,19.371593794584385,24
retail_volume_index_ma6_v4,"Retail volume index, MA6 V4",Household consumption,,monthly,ma6_v4,TRUE,6.23921373914645,8.801476737639975,-0.04480704593822426,0.5405145095673259,9.28927034660346,24
services_volume_index_ma6_v4,"Services volume index, MA6 V4",Household consumption,,monthly,ma6_v4,TRUE,3.5094462852430226,3.824682073431894,0.02512317662309726,0.3740807938930228,4.220590824210105,24
state_tax_revenue_real_pc,"Own tax revenue, real per capita",State public finances,revenues,bimonthly_fiscal,raw,FALSE,-288.11594944373826,-27.344707178310895,-3.013550813398403,19.40982245936167,66.65046193723315,24
icms_revenue_real_pc,"ICMS revenue, real per capita",State public finances,revenues,bimonthly_fiscal,raw,FALSE,-285.222915712381,83.08773387340946,4.726645494093311,10.763411451607958,394.9917003405277,24
public_investment_liquidated_real_pc,"Public investment, liquidated, real per capita",State public finances,expenditures,bimonthly_fiscal,raw,FALSE,-95.86754673800544,-2.775125896287487,-1.0557013970730995,17.320220005157243,28.93035706414117,24
liquidated_expenditure_total_real_pc,"Total liquidated expenditure, real per capita",State public finances,expenditures,bimonthly_fiscal,raw,FALSE,-1016.0303709038326,-150.92010783792864,0.2117095177977618,475.06342543779584,289.39049293738873,24
state_tax_revenue_real_pc_ma4_v4,"Own tax revenue, real per capita, MA4 V4",State public finances,revenues,bimonthly_fiscal,ma4_v4,TRUE,-314.3381410549713,-26.171537335597534,0.07991262165776902,3.6840356655283744,42.99631901798389,24
icms_revenue_real_pc_ma4_v4,"ICMS revenue, real per capita, MA4 V4",State public finances,revenues,bimonthly_fiscal,ma4_v4,TRUE,-340.11498617126756,-59.80390014540841,-0.07525051083748621,0.6058372208616486,125.29863050869936,24
public_investment_liquidated_real_pc_ma4_v4,"Public investment, liquidated, real per capita, MA4 V4",State public finances,expenditures,bimonthly_fiscal,ma4_v4,TRUE,-36.14548256338995,8.462435064165597,-0.16789913759479588,3.3686434349931704,24.8913331847592,24
liquidated_expenditure_total_real_pc_ma4_v4,"Total liquidated expenditure, real per capita, MA4 V4",State public finances,expenditures,bimonthly_fiscal,ma4_v4,TRUE,-1071.2450853563578,-296.7594632546694,11.45736214802714,96.48210349498989,338.97932407992386,24
