donor_state,scm_weight
RS,0.6845446526415198
AC,0.20599475772570444
MG,0.07002147261226734
MA,0.03943911702050483
GO,1.1908509714085715e-15
RN,6.428375084865086e-16
PI,5.946150899191138e-16
BA,3.5025732744993414e-16
AP,2.847418420678007e-16
RO,2.1077278478746363e-16
AL,2.1074036797886367e-16
PB,1.3680828145137973e-16
MS,2.2405493968789775e-17
ES,1.1349092900080672e-17
CE,0
DF,0
MT,0
PA,0
PE,0
PR,0
RJ,0
SC,0
SE,0
SP,0
