donor_state,scm_weight,outcome
AL,0.508783882386463,Retail volume
PA,0.337230851950995,Retail volume
RR,0.06751839808636016,Retail volume
SC,0.04372170007200832,Retail volume
AC,0.04274516750095344,Retail volume
AL,0.42058699241035497,Formal hiring
CE,0.39959065176463376,Formal hiring
RO,0.09622530293934468,Formal hiring
RN,0.06746508369124929,Formal hiring
AC,0.01613196918833268,Formal hiring
SE,0.42034838659989593,Construction
AL,0.3825754019184052,Construction
RO,0.10129865261455848,Construction
BA,0.05126218980171258,Construction
PI,0.04451536905839794,Construction
PI,0.5623199558911505,ICMS
RN,0.2043569548637328,ICMS
AL,0.1902771350298854,ICMS
AM,0.02447598224877868,ICMS
RJ,0.01856997196446146,ICMS
AL,0.526909999718976,Tax revenue
CE,0.27104454802809524,Tax revenue
PI,0.15760679583875586,Tax revenue
AC,0.034327546648664047,Tax revenue
AM,0.01011110976492293,Tax revenue
