Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Retail volume,114.24,114.04,3.23,36
Formal hiring,26.36,33.77,28.29,25
Construction,3.98,3.77,3.06,25
ICMS,42.16,42.23,1.14,36
Tax revenue,45.49,45.44,1.07,36
