Outcome,Gap post,LOO rank,p (2-sided)
Retail volume,-1.03,24 / 24,0.042
Formal hiring,-20.13,20 / 24,0.208
Construction,-1.56,24 / 24,0.042
ICMS,-0.73,24 / 24,0.042
Tax revenue,0.1,24 / 24,0.042
