Outcome,Gap post,LOO rank,p (2-sided)
Retail volume,0.25,24 / 24,0.042
Formal hiring,-20.39,24 / 24,0.042
Construction,-9.19,5 / 24,0.208
ICMS,-0.13,23 / 23,0.043
Tax revenue,-0.12,24 / 24,0.042
