Covariate,Treated,Retail volume,Formal hiring,Construction,ICMS,Tax revenue
ICMS secondary VA pc, 3.244, 6.056, 5.288, 3.982, 3.463, 3.463
ICMS tertiary VA pc, 7.933,17.549,15.778,14.153,13.813,13.813
ICMS energy VA pc, 1.724, 3.247, 2.996, 2.780, 2.738, 2.738
ICMS fuels VA pc, 5.212, 6.643, 5.931, 5.626, 6.184, 6.184
FPE transfer pc,27.446,49.011,29.874,32.830,33.015,33.015
IOF-state pc, 0.000, 0.003, 0.001, 0.000, 0.000, 0.000
