donor_state,scm_weight,outcome
PA,0.48305421740724463,Retail volume
AL,0.33862907505646017,Retail volume
RR,0.17831670753207485,Retail volume
MG,1.9014456969643737e-12,Retail volume
BA,1.094484811054001e-12,Retail volume
PI,0.6157374271157533,Formal hiring
PA,0.2220829521930526,Formal hiring
AL,0.09048977168696584,Formal hiring
RN,0.05306666017775271,Formal hiring
AM,0.01862318881527852,Formal hiring
PI,0.8452349196397134,Construction
AL,0.15476508034661232,Construction
SC,4.1690019015029395e-12,Construction
PE,3.0685108502808338e-12,Construction
CE,2.8275572302795373e-12,Construction
PI,0.9999999999943822,ICMS
MS,2.847004656100891e-12,ICMS
PR,1.7886703982437737e-12,ICMS
GO,8.370514200204643e-13,ICMS
CE,1.4383316623134536e-13,ICMS
PI,0.9999999999865716,Tax revenue
PE,4.3328818465793915e-12,Tax revenue
RS,2.853778103448976e-12,Tax revenue
RN,2.7383768815182047e-12,Tax revenue
RJ,1.0351399140194832e-12,Tax revenue
