Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Retail volume,121.61,121.59,1.67,36
Formal hiring,20.35,20.78,9.96,27
Construction,6.74,7.30,4.82,27
ICMS,30.39,30.39,1.12,36
Tax revenue,32.96,33.02,1.06,36
