period_date,event_time,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2020-03-01,-31,6.548355988078385,6.6861337344372025,-0.14505946575825066,8.858667904100823e-4,6.541074268678952,-0.13777774635881723,0.0072817193994332285,icms_conf6m_pc_log
2020-04-01,-30,6.5104865952009074,6.663632407058675,-0.1425246392435946,0.007847599703514606,6.521107767815081,-0.153145811857768,-0.010621172614173169,icms_conf6m_pc_log
2020-05-01,-29,6.452192197454011,6.605796465605466,-0.16356841713993395,0.0026366508987303583,6.442228048465532,-0.15360426815145534,0.009964148988478527,icms_conf6m_pc_log
2020-06-01,-28,6.363827101718475,6.536351393217763,-0.1747542024765782,0.06951927961775606,6.361597190741185,-0.17252429149928794,0.0022299109772898618,icms_conf6m_pc_log
2020-07-01,-27,6.323990867225598,6.496063695272231,-0.18888768099119374,1e-4,6.307176014281038,-0.17207282804663304,0.01681485294456042,icms_conf6m_pc_log
2020-08-01,-26,6.316528184138042,6.499363163100847,-0.18141631159671853,8.858667904100823e-4,6.317946851504129,-0.18283497896280565,-0.0014186673660869786,icms_conf6m_pc_log
2020-09-01,-25,6.334662710148933,6.519663711508159,-0.176875931103299,0.0026366508987303583,6.342787780404859,-0.18500100135922537,-0.008125070255926126,icms_conf6m_pc_log
2020-10-01,-24,6.388973823039747,6.56719285084741,-0.1786207386504074,0.007847599703514606,6.388572112197003,-0.1782190278076632,4.0171084274387425e-4,icms_conf6m_pc_log
2020-11-01,-23,6.487336577088327,6.654978033736292,-0.16682487419019834,8.858667904100823e-4,6.488153159546093,-0.16764145664796448,-8.165824577659464e-4,icms_conf6m_pc_log
2020-12-01,-22,6.581810005914322,6.719444077712778,-0.14540834347035306,0.0026366508987303583,6.5740357342424245,-0.13763407179845544,0.007774271671897814,icms_conf6m_pc_log
2021-01-01,-21,6.640132034483803,6.775804544799459,-0.12686352172115806,8.858667904100823e-4,6.648941023078301,-0.13567251031565597,-0.008808988594497968,icms_conf6m_pc_log
2021-02-01,-20,6.6678606479647975,6.792896688991844,-0.1231464120674892,8.858667904100823e-4,6.669750276924355,-0.12503604102704635,-0.0018896289595575766,icms_conf6m_pc_log
2021-03-01,-19,6.6782124725151935,6.794782412535335,-0.11958125757617682,0.0026366508987303583,6.675201154959159,-0.11656994002014187,0.003011317556034676,icms_conf6m_pc_log
2021-04-01,-18,6.684663827210368,6.791074618081176,-0.10917541987505114,8.858667904100823e-4,6.681899198206125,-0.1064107908708074,0.0027646290042433463,icms_conf6m_pc_log
2021-05-01,-17,6.668791195963682,6.772197782191967,-0.10811203456479984,8.858667904100823e-4,6.664085747627167,-0.10340658622828514,0.0047054483365149835,icms_conf6m_pc_log
2021-06-01,-16,6.626420829781783,6.756092836510815,-0.11705711374091211,0.007847599703514606,6.639035722769903,-0.12967200672903179,-0.012614892988120019,icms_conf6m_pc_log
2021-07-01,-15,6.6043014747899464,6.742883275153273,-0.13696901311238996,2.9763514416313193e-4,6.605914262040883,-0.13858180036332612,-0.0016127872509361652,icms_conf6m_pc_log
2021-08-01,-14,6.619008807844496,6.764038868384798,-0.14623395669623104,8.858667904100823e-4,6.617804911688567,-0.14503006054030187,0.001203896155929307,icms_conf6m_pc_log
2021-09-01,-13,6.640380236538504,6.793713263650164,-0.15708773860989006,0.0026366508987303583,6.636625525040274,-0.1533330271116604,0.0037547114982299234,icms_conf6m_pc_log
2021-10-01,-12,6.669205429159765,6.823568371655385,-0.16082264553353762,0.0026366508987303583,6.662745726121848,-0.1543629424956201,0.006459703037917208,icms_conf6m_pc_log
2021-11-01,-11,6.697111784485663,6.852173572879368,-0.14947012405674243,2.9763514416313193e-4,6.702703448822625,-0.15506178839370488,-0.005591664336962232,icms_conf6m_pc_log
2021-12-01,-10,6.7442787270757005,6.883655779840506,-0.1323576110772969,8.858667904100823e-4,6.751298168763209,-0.1393770527648055,-0.007019441687508454,icms_conf6m_pc_log
2022-01-01,-9,6.795494049648065,6.925431789854828,-0.13177043074345401,0.0026366508987303583,6.793661359111375,-0.1299377402067634,0.001832690536690329,icms_conf6m_pc_log
2022-02-01,-8,6.816633322680884,6.924657207039613,-0.12970248295527628,0.0026366508987303583,6.794954724084336,-0.10802388435872867,0.02167859859654797,icms_conf6m_pc_log
2022-03-01,-7,6.824191612887586,6.9237931540539135,-0.0884104161014708,8.858667904100823e-4,6.835382737952442,-0.09960154116632758,-0.011191125064856422,icms_conf6m_pc_log
2022-04-01,-6,6.847753223533305,6.93920886980888,-0.09006943062485652,8.858667904100823e-4,6.8491394391840235,-0.09145564627557512,-0.001386215650718725,icms_conf6m_pc_log
2022-05-01,-5,6.8532451209911205,6.948189537230084,-0.09601437954051888,2.9763514416313193e-4,6.852175157689564,-0.09494441623896321,0.001069963301556065,icms_conf6m_pc_log
