donor_state,weight
SP,2.237407486228566
PR,-1.8996157891125112
AL,-1.6062461769287855
MG,-1.1766475918882173
PB,0.951205796275331
BA,0.9322023769289924
DF,-0.8032982330475302
PI,0.6908312372433044
PE,-0.6271408092836828
RJ,0.6179625543548795
SC,0.6049780521832331
MS,0.5874470198209647
PA,-0.5810524182783668
GO,0.39959291698539756
CE,0.34098458655353436
MT,0.27732984109576275
SE,-0.23631894745267273
RN,0.2195729606721491
MA,0.19920640320011154
RS,-0.11241578874927065
AC,-0.08566144579024418
ES,0.07483104726382439
RO,-0.0273390324648931
AP,0.02218395443966572
