donor_state,weight
AC,0.911200404035948
AP,-0.3213979953754508
RO,0.28290035741588787
DF,0.16748133079240826
RN,0.14368248144790524
MA,-0.09791517235789368
SE,0.07819149212471016
PA,-0.06443152578623322
PI,-0.06259197550714517
CE,-0.04868336342658195
AL,-0.03803248272033915
PB,0.03556951479972613
MG,0.025763870405736786
PR,0.02296686502040394
BA,-0.021036309823157615
SC,0.01988605584595255
PE,0.01937063916468663
SP,-0.0181208444064485
MT,-0.01761048015976731
GO,-0.015195117114684246
RS,0.013139943447217504
RJ,-0.012408573120217996
MS,-0.005624974231267987
ES,0.0028958596154229337
