donor_state,weight
PR,-1.5979522665245027
SP,1.5063568072251161
AL,-1.4824583688343425
MG,-0.9622654004241572
PB,0.7473933857689353
SC,0.7465478144196038
PI,0.5888285274725736
RJ,0.5762837556296493
DF,-0.534272977924197
BA,0.4773540021512975
GO,0.4070476249048496
SE,-0.3054945490229305
MT,0.2929967674604274
PA,-0.2684249112937668
MS,0.23599801096421483
RN,0.2199268155259347
ES,0.20767670507113903
CE,0.19832702451156822
MA,0.13391909552760528
AP,0.1324963279460447
RO,-0.09844825552781349
PE,-0.08181073723955534
AC,-0.07815818106491815
RS,-0.06186701558981025
