donor_state,weight
AC,0.4475497361626518
RO,0.3901061840193137
RN,0.14242844548440967
ES,0.10502053315408484
AP,-0.10074233075052576
DF,0.09015514350970306
BA,-0.060031568952543184
CE,-0.053351170770477525
PI,-0.048967530865083174
SC,0.039249262245968385
PR,0.03346168639466235
SE,0.031769367414763335
GO,0.03133536499503752
PA,-0.02901714137042133
PB,0.027545656045783164
SP,-0.026701173309603688
AL,-0.020060466804174174
MA,-0.016033256248716633
MS,0.013280004032628584
PE,0.006861407209752996
MT,-0.0017712185150976175
RS,-0.0012445930510791997
MG,-0.0010195548770753897
RJ,1.7721626077795392e-4
