Channel,Outcome,Mean gap (w6m),RMSPE pre,Donors
Household consumption,"Retail volume, MA6 trailing, log",-0.29,0.02,25
State public finances,"ICMS CONFAZ per capita, 6m sum, log BRL/resident", 0.15,0.03,25
