pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,services,consumption,2024-02-01,post,7.164100598650805
AC,services,consumption,2024-03-01,post,3.943401009677814
AC,services,consumption,2024-04-01,post,0.6671300004718148
AC,services,consumption,2024-05-01,post,-7.945527785702836
AC,services,consumption,2024-06-01,post,2.214637186452478
AC,services,consumption,2024-07-01,post,-2.759393582192388
AC,services,consumption,2024-08-01,post,1.0379110584468236
AC,services,consumption,2024-09-01,post,6.878877498908949
AC,formal_hiring,labor_market,2019-10-01,pre,-28.26637413171413
AC,formal_hiring,labor_market,2019-11-01,pre,-58.67537742439561
AC,formal_hiring,labor_market,2019-12-01,pre,52.42715201261736
AC,formal_hiring,labor_market,2020-01-01,pre,13.35552506133287
AC,formal_hiring,labor_market,2020-02-01,pre,47.42322613061946
AC,formal_hiring,labor_market,2020-03-01,pre,62.44793922021119
AC,formal_hiring,labor_market,2020-04-01,pre,122.3434619880125
AC,formal_hiring,labor_market,2020-05-01,pre,337.9036006111788
AC,formal_hiring,labor_market,2020-06-01,pre,-14.706253898835882
AC,formal_hiring,labor_market,2020-07-01,pre,3.124410514239023
AC,formal_hiring,labor_market,2020-08-01,pre,5.538823704548747
AC,formal_hiring,labor_market,2020-09-01,pre,-17.605485880167127
AC,formal_hiring,labor_market,2020-10-01,pre,-53.07416164677906
AC,formal_hiring,labor_market,2020-11-01,pre,10.234503878204116
AC,formal_hiring,labor_market,2020-12-01,pre,-26.99991679061359
AC,formal_hiring,labor_market,2021-01-01,pre,-5.2112556941224994
AC,formal_hiring,labor_market,2021-02-01,pre,76.57262266770401
AC,formal_hiring,labor_market,2021-03-01,pre,-37.67621842732324
AC,formal_hiring,labor_market,2021-04-01,pre,22.5310068643645
AC,formal_hiring,labor_market,2021-05-01,pre,30.836033528835316
AC,formal_hiring,labor_market,2021-06-01,pre,20.22694742575456
AC,formal_hiring,labor_market,2021-07-01,pre,28.93156732501229
AC,formal_hiring,labor_market,2021-08-01,pre,-89.46731249927038
AC,formal_hiring,labor_market,2021-09-01,pre,80.72875282208977
AC,formal_hiring,labor_market,2021-10-01,pre,103.67625871811366
AC,formal_hiring,labor_market,2021-11-01,pre,-21.024560861891914
AC,formal_hiring,labor_market,2021-12-01,pre,12.727001193119264
AC,formal_hiring,labor_market,2022-01-01,pre,-25.88538254171712
AC,formal_hiring,labor_market,2022-02-01,pre,-29.449722968965766
AC,formal_hiring,labor_market,2022-03-01,pre,-85.82118633839032
AC,formal_hiring,labor_market,2022-04-01,pre,-6.632730012886981
AC,formal_hiring,labor_market,2022-05-01,pre,-4.927163073446437
AC,formal_hiring,labor_market,2022-06-01,pre,-11.06417527309516
AC,formal_hiring,labor_market,2022-07-01,pre,28.429726933864572
AC,formal_hiring,labor_market,2022-08-01,pre,21.03287466010866
AC,formal_hiring,labor_market,2022-09-01,pre,-10.800950451027994
AC,formal_hiring,labor_market,2022-10-01,post,101.66018222349834
AC,formal_hiring,labor_market,2022-11-01,post,54.16651393179879
AC,formal_hiring,labor_market,2022-12-01,post,28.791908233806012
AC,formal_hiring,labor_market,2023-01-01,post,-73.40377648711426
AC,formal_hiring,labor_market,2023-02-01,post,13.47924034745396
AC,formal_hiring,labor_market,2023-03-01,post,27.247554395725338
AC,formal_hiring,labor_market,2023-04-01,post,-16.6206254800799
AC,formal_hiring,labor_market,2023-05-01,post,-38.315529951616476
AC,formal_hiring,labor_market,2023-06-01,post,44.457231115965804
AC,formal_hiring,labor_market,2023-07-01,post,-33.263483357225894
AC,formal_hiring,labor_market,2023-08-01,post,-14.410093724851777
AC,formal_hiring,labor_market,2023-09-01,post,-71.69806815557713
AC,formal_hiring,labor_market,2023-10-01,post,-58.84192691926832
AC,formal_hiring,labor_market,2023-11-01,post,-37.870640030435375
AC,formal_hiring,labor_market,2023-12-01,post,1.5903962845195423
AC,formal_hiring,labor_market,2024-01-01,post,-83.64631655886768
AC,formal_hiring,labor_market,2024-02-01,post,8.134751205041177
AC,formal_hiring,labor_market,2024-03-01,post,17.112576286454114
AC,formal_hiring,labor_market,2024-04-01,post,37.63321726736808
AC,formal_hiring,labor_market,2024-05-01,post,2.1161596688441904
AC,formal_hiring,labor_market,2024-06-01,post,-209.37041017641795
AC,formal_hiring,labor_market,2024-07-01,post,9.144654090564863
AC,formal_hiring,labor_market,2024-08-01,post,-80.7543778286645
AC,formal_hiring,labor_market,2024-09-01,post,-10.22369645988256
AC,construction,labor_market,2019-10-01,pre,-22.1170238155584
AC,construction,labor_market,2019-11-01,pre,1.8138758405216544
AC,construction,labor_market,2019-12-01,pre,18.344764559610816
AC,construction,labor_market,2020-01-01,pre,-10.822179752291396
AC,construction,labor_market,2020-02-01,pre,6.7671625340361254
AC,construction,labor_market,2020-03-01,pre,0.29450509674725156
AC,construction,labor_market,2020-04-01,pre,11.193094291066018
AC,construction,labor_market,2020-05-01,pre,2.5635092798965573
AC,construction,labor_market,2020-06-01,pre,3.686885463239302
AC,construction,labor_market,2020-07-01,pre,1.9579719260038702
AC,construction,labor_market,2020-08-01,pre,-4.079978398606995
AC,construction,labor_market,2020-09-01,pre,2.871320375640533
AC,construction,labor_market,2020-10-01,pre,7.686826817846944
AC,construction,labor_market,2020-11-01,pre,-7.131530713830857
AC,construction,labor_market,2020-12-01,pre,-8.981092547639568
AC,construction,labor_market,2021-01-01,pre,15.348967664322053
AC,construction,labor_market,2021-02-01,pre,-6.407279904443981
AC,construction,labor_market,2021-03-01,pre,7.954160251153486
AC,construction,labor_market,2021-04-01,pre,-14.090789496920616
AC,construction,labor_market,2021-05-01,pre,-12.365257405355795
AC,construction,labor_market,2021-06-01,pre,-2.7693545935967405
AC,construction,labor_market,2021-07-01,pre,4.3699973096338915
AC,construction,labor_market,2021-08-01,pre,-12.95534666705736
AC,construction,labor_market,2021-09-01,pre,-2.7527698235205857
AC,construction,labor_market,2021-10-01,pre,32.070351246486545
AC,construction,labor_market,2021-11-01,pre,3.966857627878273
AC,construction,labor_market,2021-12-01,pre,-11.951443120769628
AC,construction,labor_market,2022-01-01,pre,-11.70033689462604
AC,construction,labor_market,2022-02-01,pre,43.4494398822856
AC,construction,labor_market,2022-03-01,pre,1.9192319248194458
AC,construction,labor_market,2022-04-01,pre,19.400149331390637
AC,construction,labor_market,2022-05-01,pre,2.615593917462469
AC,construction,labor_market,2022-06-01,pre,0.667192087517531
AC,construction,labor_market,2022-07-01,pre,-3.204971810465654
AC,construction,labor_market,2022-08-01,pre,-28.517242528446168
AC,construction,labor_market,2022-09-01,pre,14.395535968456732
AC,construction,labor_market,2022-10-01,post,3.9387680765680093
AC,construction,labor_market,2022-11-01,post,-1.640993505750926
AC,construction,labor_market,2022-12-01,post,-7.080305642058743
AC,construction,labor_market,2023-01-01,post,3.942001171764149
AC,construction,labor_market,2023-02-01,post,-17.647269620942982
AC,construction,labor_market,2023-03-01,post,3.504881157294328
AC,construction,labor_market,2023-04-01,post,-28.210639832020775
AC,construction,labor_market,2023-05-01,post,-8.633772367422981
AC,construction,labor_market,2023-06-01,post,25.269346490533614
AC,construction,labor_market,2023-07-01,post,6.18885761749169
AC,construction,labor_market,2023-08-01,post,6.0792093051176614
AC,construction,labor_market,2023-09-01,post,-8.401364097932143
AC,construction,labor_market,2023-10-01,post,14.691177311070518
AC,construction,labor_market,2023-11-01,post,27.59465709669304
AC,construction,labor_market,2023-12-01,post,21.863069840926496
AC,construction,labor_market,2024-01-01,post,1.0890916430033846
AC,construction,labor_market,2024-02-01,post,0.2404014931347378
AC,construction,labor_market,2024-03-01,post,-5.535341386813412
AC,construction,labor_market,2024-04-01,post,43.85586207303285
AC,construction,labor_market,2024-05-01,post,10.911859122940218
AC,construction,labor_market,2024-06-01,post,0.25481138775704815
AC,construction,labor_market,2024-07-01,post,-9.384713707679541
AC,construction,labor_market,2024-08-01,post,-17.22428283975959
AC,construction,labor_market,2024-09-01,post,-10.135530612970113
AC,icms_siconfi,public_sector,2018-10-01,pre,-0.04699593254944645
AC,icms_siconfi,public_sector,2018-12-01,pre,0.17694219946661516
AC,icms_siconfi,public_sector,2019-02-01,pre,0.3290421435740294
AC,icms_siconfi,public_sector,2019-04-01,pre,-0.3485022777786462
AC,icms_siconfi,public_sector,2019-06-01,pre,-0.08837078076612315
AC,icms_siconfi,public_sector,2019-08-01,pre,0.11482110140291724
AC,icms_siconfi,public_sector,2019-10-01,pre,-0.08058648796771184
AC,icms_siconfi,public_sector,2019-12-01,pre,-0.22070016075587873
AC,icms_siconfi,public_sector,2020-02-01,pre,-0.07517567261868852
AC,icms_siconfi,public_sector,2020-04-01,pre,0.13900581542122392
AC,icms_siconfi,public_sector,2020-06-01,pre,0.24463707898088582
AC,icms_siconfi,public_sector,2020-08-01,pre,0.07321027304165995
AC,icms_siconfi,public_sector,2020-10-01,pre,-0.16535655799468518
AC,icms_siconfi,public_sector,2020-12-01,pre,-0.1493574520778589
AC,icms_siconfi,public_sector,2021-02-01,pre,0.09160879124929622
AC,icms_siconfi,public_sector,2021-04-01,pre,0.1301822751416175
AC,icms_siconfi,public_sector,2021-06-01,pre,0.27724802165997886
AC,icms_siconfi,public_sector,2021-08-01,pre,-0.04638954510785176
AC,icms_siconfi,public_sector,2021-10-01,pre,0.06351064969299802
AC,icms_siconfi,public_sector,2021-12-01,pre,-0.17026420796316533
AC,icms_siconfi,public_sector,2022-02-01,pre,0.014034868758176167
AC,icms_siconfi,public_sector,2022-04-01,pre,0.023220749695106235
AC,icms_siconfi,public_sector,2022-06-01,pre,-0.05691707857437489
AC,icms_siconfi,public_sector,2022-08-01,pre,-0.21575870290118626
AC,icms_siconfi,public_sector,2022-10-01,post,-0.18326131742073493
AC,icms_siconfi,public_sector,2022-12-01,post,-0.090132035432541
AC,icms_siconfi,public_sector,2023-02-01,post,-0.02177925705207695
AC,icms_siconfi,public_sector,2023-04-01,post,0.07670694811957901
AC,icms_siconfi,public_sector,2023-06-01,post,-0.053883898878914316
AC,icms_siconfi,public_sector,2023-08-01,post,0.02093499499583995
AC,icms_siconfi,public_sector,2023-10-01,post,0.054082107580155636
AC,icms_siconfi,public_sector,2023-12-01,post,0.008771925269889458
AC,icms_siconfi,public_sector,2024-02-01,post,-0.0019375787673423517
AC,icms_siconfi,public_sector,2024-04-01,post,-0.05197548432686716
AC,icms_siconfi,public_sector,2024-06-01,post,0.05486215568298025
AC,icms_siconfi,public_sector,2024-08-01,post,0.018267674061664962
AC,tax_siconfi,public_sector,2018-10-01,pre,-0.0920678420316916
AC,tax_siconfi,public_sector,2018-12-01,pre,0.10276518647400135
AC,tax_siconfi,public_sector,2019-02-01,pre,-0.3079846186512807
AC,tax_siconfi,public_sector,2019-04-01,pre,0.021661500055497385
AC,tax_siconfi,public_sector,2019-06-01,pre,0.05813163069159
AC,tax_siconfi,public_sector,2019-08-01,pre,0.32970283234460407
AC,tax_siconfi,public_sector,2019-10-01,pre,-0.36879339925610743
AC,tax_siconfi,public_sector,2019-12-01,pre,-0.049331386497146745
AC,tax_siconfi,public_sector,2020-02-01,pre,-0.016178824458246588
AC,tax_siconfi,public_sector,2020-04-01,pre,0.14604147701613446
AC,tax_siconfi,public_sector,2020-06-01,pre,0.08359300629646693
AC,tax_siconfi,public_sector,2020-08-01,pre,0.01990027479349088
AC,tax_siconfi,public_sector,2020-10-01,pre,0.017536987715337737
AC,tax_siconfi,public_sector,2020-12-01,pre,-0.09489455736433605
AC,tax_siconfi,public_sector,2021-02-01,pre,0.07556842349320991
AC,tax_siconfi,public_sector,2021-04-01,pre,0.04041710513250063
AC,tax_siconfi,public_sector,2021-06-01,pre,0.06020311002840106
AC,tax_siconfi,public_sector,2021-08-01,pre,0.20999614322389615
AC,tax_siconfi,public_sector,2021-10-01,pre,0.06688866228600698
AC,tax_siconfi,public_sector,2021-12-01,pre,-0.19308960551630072
AC,tax_siconfi,public_sector,2022-02-01,pre,-0.10011000494265421
AC,tax_siconfi,public_sector,2022-04-01,pre,-0.020649496632684894
AC,tax_siconfi,public_sector,2022-06-01,pre,-0.026904158509271525
AC,tax_siconfi,public_sector,2022-08-01,pre,-0.0034272494759806094
AC,tax_siconfi,public_sector,2022-10-01,post,0.0714602322800264
AC,tax_siconfi,public_sector,2022-12-01,post,0.3570123964520988
AC,tax_siconfi,public_sector,2023-02-01,post,4.006179688298417e-4
AC,tax_siconfi,public_sector,2023-04-01,post,-0.008233784072404937
AC,tax_siconfi,public_sector,2023-06-01,post,-0.021548355980967493
