donor_state,coefficient
AL,-0.9371925654589911
PB,0.7177211004037138
PA,-0.620608897911852
DF,0.4595221380677616
SC,0.37092804817643094
SE,0.3669052650168811
GO,0.3461528907107302
AP,-0.3426066288800865
MA,-0.32641846953042086
RJ,0.31242232064820613
BA,0.2856638123466839
MT,-0.25785547980912255
SP,0.23403241164821054
MG,-0.19437128404421045
PI,0.18630957643599833
PE,-0.16953463343547126
RN,0.1578878905998102
AC,-0.15598743594563544
RO,0.14993049271342063
PR,-0.11090520884333933
ES,0.05350198325448377
MS,-0.04872762992731999
CE,0.030908629934616003
RS,-0.004496933883651268
