donor_state,coefficient
RS,-2.5505223961744306
AC,1.661547754424266
PE,1.5120544114963508
PA,-1.3843106360536168
RJ,1.3479593533839749
MA,1.3313646211704064
BA,-1.2843064785518827
RN,1.0622910642464263
AL,-0.8211370748141273
MG,0.7480579645391859
AP,-0.7086584215540488
PB,-0.46378992546190495
CE,0.40771707136770674
RO,-0.40536572374299074
MS,-0.38025394440329147
DF,0.32812489296728276
SP,-0.2992448838117081
PI,-0.24148925808984584
SC,0.22596327804504138
ES,0.21937902140772964
PR,-0.21889191891650842
GO,0.20153655545066115
MT,0.17300314616131468
SE,0.17094943281779038
