short,group,n,avg_effect,n_neg,t_p
Construction,change,2,-10.42,2,0.074
Construction,continuity,7,+1.39,4,0.589
Construction,newelection,3,-6.62,2,0.22
Formal hiring,change,2,-18.64,2,0.06
Formal hiring,continuity,7,-2.50,4,0.565
Formal hiring,newelection,3,-2.52,2,0.771
ICMS,change,4,-4.7%,3,0.264
ICMS,continuity,7,-1.7%,5,0.553
ICMS,newelection,3,+2.7%,1,0.465
Public investment,continuity,5,-15.4%,2,0.299
Retail volume,change,4,-0.63,2,0.851
Retail volume,continuity,7,+1.83,1,0.161
Retail volume,newelection,3,+7.13,1,0.255
Services volume,continuity,6,+1.63,0,0.075
Services volume,newelection,2,+0.01,1,0.993
Tax revenue,change,4,-0.7%,2,0.913
Tax revenue,continuity,7,-2.1%,4,0.319
Tax revenue,newelection,3,+0.2%,1,0.96
Total expenditure,continuity,5,+5.5%,2,0.219
