Outcome,n,Avg effect,t p,Wilcoxon p,Pooled placebo p,neg
Construction,13,-1.89,0.388,0.305,0.889,8
Formal hiring,13,-3.82,0.28,0.273,0.444,8
ICMS,15,-1.0%,0.575,0.804,0.63,9
Public investment,5,-15.4%,0.299,0.812,0.609,2
Retail volume,15,+1.73,0.261,0.303,0.222,5
Services volume,9,+1.25,0.05,0.027,0.444,1
Tax revenue,15,-1.8%,0.326,0.229,0.667,8
Total expenditure,6,+0.2%,0.98,1,0.87,3
