period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-04-01,pre,96.98302444993304,98.44388305779263,-1.9470251071573539,0.02758531617629184,0.03389505660435158,96.49685795063527,-1.460858607859592,0.48616649929776656,retail_volume_index_ma6_clean
2016-05-01,pre,95.32787960667493,97.21964648422238,-1.7006912022336682,0.039194067748472214,0.05650796296615551,95.51895528198871,-1.8917668775474539,-0.19107567531378322,retail_volume_index_ma6_clean
2016-06-01,pre,90.58243778107818,91.4350196904586,-0.6797915472209439,1e-4,0.03052377943090572,90.75522814323766,-0.8525819093804188,-0.17279036215947485,retail_volume_index_ma6_clean
2016-07-01,pre,91.64047203459498,91.22372628063768,1.4151583503436187,0.11242100350620873,0.045040990820008744,92.6388846309813,0.41674575395730074,-0.9984125963863164,retail_volume_index_ma6_clean
2016-08-01,pre,94.40602822092926,91.97346678476906,2.5537730952460795,1e-4,0.04264838617932289,94.527239880015145,2.4325614361601993,-0.12121165908588694,retail_volume_index_ma6_clean
2016-09-01,pre,95.72595198043756,90.87250087543823,5.014433364510595,1e-4,0.04813079671697315,95.88693423994883,4.853451104999323,-0.16098225951127176,retail_volume_index_ma6_clean
2016-10-01,pre,97.71631587834815,91.39179895426773,6.009924417147751,1e-4,0.05238604615120131,97.40172337141547,6.324516924080427,0.3145925069326836,retail_volume_index_ma6_clean
2016-11-01,pre,99.65430065760204,92.85646273945045,6.745397103981843,0.006768750009458534,0.048277323083115456,99.6018598434323,6.797837918151586,0.05244081416974211,retail_volume_index_ma6_clean
2016-12-01,pre,104.6616340182876,97.8718328955274,7.0217193607296,1e-4,0.044741824390432325,104.89355225625701,6.7898011227601955,-0.2319182379694098,retail_volume_index_ma6_clean
2017-01-01,pre,101.3272163353374,97.62670112688687,3.5611252065147307,0.0023598334667821936,0.03269051112065906,101.1878263334016,3.7005152084505255,0.13939000193579432,retail_volume_index_ma6_clean
2017-02-01,pre,97.25127720517328,96.22235956322233,0.9419183534460899,1e-4,0.04766941654624294,97.16427791666841,1.0289176419509545,0.08699928850487026,retail_volume_index_ma6_clean
2017-03-01,pre,94.45805630574668,96.57997414936447,-2.252121570364057,1e-4,0.04453054920394358,94.32785257900042,-2.121917843617794,0.13020372674625946,retail_volume_index_ma6_clean
2017-04-01,pre,91.02481752429104,95.67297364350777,-4.099165707825293,0.039194067748472214,0.030427950568440477,91.57380793568248,-4.648156119216736,-0.5489904113914434,retail_volume_index_ma6_clean
2017-05-01,pre,88.73558179232522,94.43907665195263,-4.91299822984264,0.02758531617629184,0.04499025990181771,89.52607842210999,-5.703494859627412,-0.7904966297847693,retail_volume_index_ma6_clean
2017-06-01,pre,83.20617994871172,89.30621664091537,-6.240628731319566,4.075392965871778e-4,0.04244197601990166,83.0655879095958,-6.100036692203645,0.14059203911591567,retail_volume_index_ma6_clean
2017-07-01,pre,85.84862065412497,89.41991330211522,-4.370898056442405,0.019414919457438815,0.04904311982609794,85.04901524567282,-3.571292647990248,0.7996054084521518,retail_volume_index_ma6_clean
2017-08-01,pre,89.18765047532214,91.03063173700093,-2.102188618273836,2.8683168133420117e-4,0.06693681485349523,88.92844311872709,-1.842981261678787,0.25920735659505567,retail_volume_index_ma6_clean
2017-09-01,pre,91.22618717310988,91.51327544237675,-0.39463805436910904,1e-4,0.04930700205605341,91.11863738800764,-0.28708826926687436,0.10754978510223623,retail_volume_index_ma6_clean
2017-10-01,pre,93.124750649301,92.28047004497999,0.9853879260515288,1e-4,0.0362229798964204,93.26585797103152,0.844280604321014,-0.14110732173051588,retail_volume_index_ma6_clean
2017-11-01,pre,94.45427609740788,93.2618184720873,1.7263683828899639,1e-4,0.036777470287372264,94.98818685497726,1.1924576253205856,-0.5339107575693731,retail_volume_index_ma6_clean
2017-12-01,pre,97.8198688318434,98.54568286000111,-0.765446058894651,1e-4,0.031604971817902595,97.78023680110645,-0.7258140281577141,0.03963203073693933,retail_volume_index_ma6_clean
2018-01-01,pre,97.06396311360766,98.57701379190385,-1.1388751872936431,0.006768750009458534,0.046570195411372785,97.4381386046102,-1.5130506782961959,-0.3741754910025463,retail_volume_index_ma6_clean
2018-02-01,pre,95.2888235411328,97.05643113122707,-2.463693578731523,1e-4,0.035371959515482845,94.59273755249555,-1.767607590094272,0.6960859886372504,retail_volume_index_ma6_clean
2018-03-01,pre,95.0626745556348,98.1121739807081,-3.514407958669552,1e-4,0.02029567938823725,94.59776602203856,-3.049499425073307,0.46490853359624396,retail_volume_index_ma6_clean
2018-04-01,pre,94.10131867383556,97.9017396430063,-3.2339515360213396,1e-4,0.03251498245758602,94.66778810698496,-3.8004209691707302,-0.5664694331493934,retail_volume_index_ma6_clean
2018-05-01,pre,94.4169447646022,97.55842380519778,-2.6383976480872526,0.00335292414924956,0.035745099934919186,94.92002615711053,-3.14147904059557,-0.5030813925083208,retail_volume_index_ma6_clean
2018-06-01,pre,91.43901107639596,93.24363507682173,-2.092017020956534,1e-4,0.0316491149989104,91.1516180558652,-1.8046240004257754,0.2873930205307573,retail_volume_index_ma6_clean
2018-07-01,pre,91.75469601098536,93.05219525835636,-1.5315979336544536,1e-4,0.04813461302448707,91.52059732470191,-1.2974992473710074,0.23409868628344555,retail_volume_index_ma6_clean
2018-08-01,pre,93.20309003928698,95.59864518208333,-1.1324533823041245,0.013664483492953258,0.039802536958396154,94.46619179977921,-2.395555142796354,-1.2631017604922334,retail_volume_index_ma6_clean
2018-09-01,pre,92.82335258906124,94.75382652430434,-1.1003559840906,1e-4,0.025716072241531076,93.65347054021375,-1.9304739352431,-0.8301179511525021,retail_volume_index_ma6_clean
