Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),0.029,1 / 23,0.043
Emprego formal 6m (per 1k),-0.766,19 / 23,0.217
ICMS CONFAZ 6m pc (log),0.005,23 / 23,0.043
