outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,6.377903545404239,22,13,23,0.5652173913043478
formal_hiring_6m_per1k,2.6429259190712058,22,6,23,0.2608695652173913
icms_conf6m_pc_log,1.2222566811207372,22,23,23,1
