Channel,Outcome,Mean gap (w6m),RMSPE pre,Donors
Household consumption,"Retail volume, MA6 trailing, log", 0.03,0.00,22
Formal labor market,"Net formal hiring, 6m sum, per 1,000 residents",-2.79,0.82,22
State public finances,"ICMS CONFAZ per capita, 6m sum, log BRL/resident", 0.04,0.02,22
