Outcome,w3m,w6m,w12m,w24m
Varejo MA6 (log),0.03,0.03,0.03,0.03
Emprego formal 6m (per 1k),-4.07,-2.79,-2.00,-0.77
ICMS CONFAZ 6m pc (log),0.06,0.04,0.01,0.00
