Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.55,4.55,0.01,31
Emprego formal 6m (per 1k),1.96,2.00,1.11,31
ICMS CONFAZ 6m pc (log),6.64,6.64,0.01,31
