outcome,short,channel,transform,gap_post,effect_label,mag_sd,persistence,pre_trend_p,pre_fit_corr,pre_fit_r2,poor_fit,inspace_rank,inspace_n_units,inspace_p,loo_rank,loo_p,loo_frac,tier,considerable
retail_ma6_log,Varejo MA6 (log),consumption,log,0.015970136174776276,+1.4%,0.38428300280688993,0.9473684210526315,0.7826298674886835,0.9861503398039064,0.9730938595173076,FALSE,17/23,23,0.7391304347826086,7/23,0.304,0.9545454545454546,weak,FALSE
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,-0.4874042499376177,+0.9,0.07058148390984673,0.631578947368421,0.9125809147970847,0.9866253152796891,0.9742426985943857,FALSE,13/23,23,0.5652173913043478,23/23,0.043,1,weak,FALSE
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.09042610863040057,+8.6%,0.5328279187083836,1,0.348136093766661,0.9985750444521103,0.9971384439044899,FALSE,3/23,23,0.13043478260869565,23/23,0.043,0,suggestive,TRUE
