Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),0.016,7 / 23,0.304
Emprego formal 6m (per 1k),-0.487,23 / 23,0.043
ICMS CONFAZ 6m pc (log),0.09,23 / 23,0.043
