Covariate,Treated,Varejo MA6 (log),Emprego formal 6m (per 1k),ICMS CONFAZ 6m pc (log)
Unemployment rate,    0.142,    0.115,    0.139,    0.129
Formalization rate,    0.535,    0.506,    0.508,    0.477
Labor income (real),"2,135.720","2,433.350","2,524.684","2,379.739"
Transfer dependency ratio,    0.257,    0.229,    0.162,    0.270
Health expenditure pc,  102.459,  113.439,  144.437,  123.686
Education expenditure pc,   75.090,  102.725,   84.495,  116.511
Public security expenditure pc,   87.756,   75.132,   69.041,   96.195
