Outcome,w3m,w6m,w12m,w24m
Varejo MA6 (log),0.01,0.01,0.02,0.02
Emprego formal 6m (per 1k),1.46,0.92,0.76,-0.49
ICMS CONFAZ 6m pc (log),0.08,0.08,0.09,0.09
