outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,2.4843457766493593,22,17,23,0.7391304347826086
formal_hiring_6m_per1k,2.1628045415584425,22,13,23,0.5652173913043478
icms_conf6m_pc_log,10.119771711380274,22,3,23,0.13043478260869565
