outcome,donor_state,weight
services_volume_index_ma3,MG,0.5439551974057393
services_volume_index_ma3,SC,0.37848540572340494
services_volume_index_ma3,PA,0.07755939687085196
services_volume_index_ma3,PE,2.2561467766179813e-15
services_volume_index_ma3,RN,7.768307291315954e-16
services_volume_index_ma3,PI,5.778153092312114e-16
services_volume_index_ma3,MA,7.105515314322063e-17
services_volume_index_ma3,PB,5.397015095528333e-17
services_volume_index_ma3,BA,4.72463812032959e-17
services_volume_index_ma3,AP,6.72005109487444e-33
services_volume_index_ma3,AC,0
services_volume_index_ma3,AL,0
services_volume_index_ma3,CE,0
services_volume_index_ma3,DF,0
services_volume_index_ma3,ES,0
services_volume_index_ma3,GO,0
services_volume_index_ma3,MS,0
services_volume_index_ma3,MT,0
services_volume_index_ma3,PR,0
services_volume_index_ma3,RJ,0
services_volume_index_ma3,RO,0
services_volume_index_ma3,RS,0
services_volume_index_ma3,SE,0
services_volume_index_ma3,SP,0
