outcome,donor_state,weight
formal_hiring_balance_ma6,MS,0.5950387853485821
formal_hiring_balance_ma6,MA,0.17819111213253847
formal_hiring_balance_ma6,AP,0.13078730335682273
formal_hiring_balance_ma6,SC,0.09212417281439297
formal_hiring_balance_ma6,PA,0.0038586263476529316
formal_hiring_balance_ma6,AC,8.274983181428698e-15
formal_hiring_balance_ma6,PI,1.3039205207327942e-15
formal_hiring_balance_ma6,BA,8.260992425113151e-16
formal_hiring_balance_ma6,CE,2.107576598461003e-16
formal_hiring_balance_ma6,PR,8.49634902885664e-17
formal_hiring_balance_ma6,GO,6.543349211156632e-17
formal_hiring_balance_ma6,MG,1.0652118486758079e-17
formal_hiring_balance_ma6,RS,2.7793564791759407e-18
formal_hiring_balance_ma6,SP,1.2091640569416499e-18
formal_hiring_balance_ma6,AL,0
formal_hiring_balance_ma6,DF,0
formal_hiring_balance_ma6,ES,0
formal_hiring_balance_ma6,MT,0
formal_hiring_balance_ma6,PB,0
formal_hiring_balance_ma6,PE,0
formal_hiring_balance_ma6,RJ,0
formal_hiring_balance_ma6,RN,0
formal_hiring_balance_ma6,RO,0
formal_hiring_balance_ma6,SE,0
