pseudo_treated_state,outcome,channel_slug,period_date,analysis_period,augmented_gap
AC,services,consumption,2015-08-01,post,-15.32321856688155
AC,services,consumption,2015-09-01,post,-5.022528463455032
AC,services,consumption,2015-10-01,post,-7.038546082199574
AC,services,consumption,2015-11-01,post,-10.103250175505181
AC,services,consumption,2015-12-01,post,-11.24901642081906
AC,services,consumption,2016-01-01,post,-11.12903337382592
AC,services,consumption,2016-02-01,post,-14.882267112097196
AC,services,consumption,2016-03-01,post,-5.584884681018224
AC,formal_hiring,labor_market,2011-04-01,pre,-34.02169423674734
AC,formal_hiring,labor_market,2011-05-01,pre,9.523099398696338
AC,formal_hiring,labor_market,2011-06-01,pre,55.88029831017975
AC,formal_hiring,labor_market,2011-07-01,pre,-25.054456441467302
AC,formal_hiring,labor_market,2011-08-01,pre,-51.25798506358815
AC,formal_hiring,labor_market,2011-09-01,pre,-31.098701420515724
AC,formal_hiring,labor_market,2011-10-01,pre,-18.357671562007052
AC,formal_hiring,labor_market,2011-11-01,pre,-6.769835145549969
AC,formal_hiring,labor_market,2011-12-01,pre,27.37700289950636
AC,formal_hiring,labor_market,2012-01-01,pre,8.155362907291787
AC,formal_hiring,labor_market,2012-02-01,pre,-11.901567558110266
AC,formal_hiring,labor_market,2012-03-01,pre,-32.124735114180055
AC,formal_hiring,labor_market,2012-04-01,pre,174.8976753379744
AC,formal_hiring,labor_market,2012-05-01,pre,47.02369009107862
AC,formal_hiring,labor_market,2012-06-01,pre,-64.8289194522954
AC,formal_hiring,labor_market,2012-07-01,pre,-85.99896425657798
AC,formal_hiring,labor_market,2012-08-01,pre,59.82520349349713
AC,formal_hiring,labor_market,2012-09-01,pre,-32.091050952707114
AC,formal_hiring,labor_market,2012-10-01,pre,-37.32378793974078
AC,formal_hiring,labor_market,2012-11-01,pre,-17.24417341838705
AC,formal_hiring,labor_market,2012-12-01,pre,-126.45890016622457
AC,formal_hiring,labor_market,2013-01-01,pre,160.08037455612362
AC,formal_hiring,labor_market,2013-02-01,pre,-34.633455574341625
AC,formal_hiring,labor_market,2013-03-01,pre,108.65936630286753
AC,formal_hiring,labor_market,2013-04-01,pre,11.203380370066187
AC,formal_hiring,labor_market,2013-05-01,pre,92.265638103031
AC,formal_hiring,labor_market,2013-06-01,pre,7.609245298805032
AC,formal_hiring,labor_market,2013-07-01,pre,-32.65016990554235
AC,formal_hiring,labor_market,2013-08-01,pre,-32.55008749602224
AC,formal_hiring,labor_market,2013-09-01,pre,50.296968811427504
AC,formal_hiring,labor_market,2013-10-01,pre,7.295106361405338
AC,formal_hiring,labor_market,2013-11-01,pre,29.839524477129
AC,formal_hiring,labor_market,2013-12-01,pre,-26.73783746925011
AC,formal_hiring,labor_market,2014-01-01,pre,38.546583180605566
AC,formal_hiring,labor_market,2014-02-01,pre,23.37257917057689
AC,formal_hiring,labor_market,2014-03-01,pre,-102.0254637877681
