period,period_date,year,quarter,sidra_period_code,sidra_period_label,uf,state_abbrev,state_name,macroregion,pnadc_population,pnadc_population_original_unit,unemployment_rate_pnadc,labor_income_real_pnadc,informality_rate_pnadc,formalization_rate_pnadc,income_variable_used,population_concept,formalization_rule,source_system,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,instability_start_date,removal_date
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,12,AC,Acre,North,568000,Mil pessoas,0.08800000000000001,2781,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,27,AL,Alagoas,Northeast,2389000,Mil pessoas,0.112,2212,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,13,AM,Amazonas,North,2629000,Mil pessoas,0.095,2810,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,FALSE,TRUE,coded_rupture_in_main_estimation_window:AM_2017_01,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,16,AP,Amapa,North,520000,Mil pessoas,0.097,3035,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,29,BA,Bahia,Northeast,11184000,Mil pessoas,0.114,2231,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,23,CE,Ceara,Northeast,6805000,Mil pessoas,0.081,2145,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,53,DF,Distrito Federal,Center-West,2215000,Mil pessoas,0.108,6207,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,32,ES,Espirito Santo,Southeast,3020000,Mil pessoas,0.071,3140,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,52,GO,Goias,Center-West,5151000,Mil pessoas,0.07,3194,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,21,MA,Maranhao,Northeast,4907000,Mil pessoas,0.09,1669,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,31,MG,Minas Gerais,Southeast,16436000,Mil pessoas,0.083,3162,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,50,MS,Mato Grosso do Sul,Center-West,1981000,Mil pessoas,0.063,3219,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,51,MT,Mato Grosso,Center-West,2518000,Mil pessoas,0.05799999999999999,3280,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,15,PA,Para,North,5838000,Mil pessoas,0.093,2241,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,25,PB,Paraiba,Northeast,2991000,Mil pessoas,0.093,2288,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,26,PE,Pernambuco,Northeast,7153000,Mil pessoas,0.08199999999999999,2754,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
2015Q1,2015-01-01,2015,1,201501,1 trimestre 2015,22,PI,Piaui,Northeast,2496000,Mil pessoas,0.079,2090,,,SIDRA table 6469 variable 5935,Pessoas de 14 anos ou mais de idade,1 - SIDRA table 8529 variable 12466 / 100,SIDRA/PNADCT,FALSE,TRUE,FALSE,,pre,2018-11-07,2018-12-10
