state_abbrev,period_date,year,month,retail,services,formal_hiring,construction,icms_confaz,tax_confaz,treated_unit,donor_pool_main,excluded_from_main_donor_pool,analysis_period,pre_instability_clean,instability_start_date,removal_date,donor_pool_exclusion_reason,event_time,icms_nominal,population,retail_ma6,retail_ma6_log,icms_pc,icms_sum6m_pc,icms_conf6m_pc_log
AC,2006-04-01,2006,4,37.4628049116049,,,,4.0623936350403085,4.16078694852206,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-36,34948565,686652,,,50.89705556817719,,
AC,2006-05-01,2006,5,39.4391910318188,,,,3.772581004973395,4.03702397709668,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-35,26181822,686652,,,38.129681410670905,,
AC,2006-06-01,2006,6,38.4046168159229,,,,3.7419425859876174,4.04573981500623,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-34,25338470,686652,,,36.90147265281394,,
AC,2006-07-01,2006,7,39.500331348916,,,,3.6965090854980662,3.9785166609859,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-33,24259007,686652,,,35.32940557953665,,
AC,2006-08-01,2006,8,42.7831782187668,,,,3.8656214476060025,4.11234265935562,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-32,28743175,686652,,,41.8598868131164,,
AC,2006-09-01,2006,9,44.6618603716769,,,,3.848058680092679,4.05916447684904,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-31,28302091,686652,40.375330449784386,3.698218966024111,41.21751775280637,244.33501977712146,5.498540315420321
AC,2006-10-01,2006,10,43.5777636430039,,,,4.241067241119669,4.27784294363242,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-30,42065897,686652,41.39449023835088,3.723147785944365,61.262323564192634,254.7002877731369,5.5400875118361155
AC,2006-11-01,2006,11,43.5500478906288,,,,3.925378482639604,4.14661011322802,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-29,30773153,686652,42.07963304815255,3.739563848052852,44.81622859905745,261.38683496152345,5.5660014363469426
AC,2006-12-01,2006,12,43.7711852388531,,,,3.970344100521498,4.10999393074338,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-28,32342945,686652,42.97406111864092,3.7605967038782167,47.10238228389344,271.5877445926029,5.60428527166427
AC,2007-01-01,2007,1,45.8554750690781,,3.76379711401565,9.63635488804452,4.014665391019885,4.312201151356,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-27,32411206,655385,44.033251738667936,3.784945069838043,49.45368905299938,285.71202806606567,5.65498440868678
AC,2007-02-01,2007,2,42.5499643546523,,-2.1182325726788,-7.49619580441575,3.8953204183874655,4.20020051873166,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-26,28891597,655385,43.99438276131552,3.7840619612528967,44.08339678204414,287.93553803499344,5.662736628815725
AC,2007-03-01,2007,3,41.8461016215218,,49.8771421961109,4.48755451317449,3.9433018159977298,4.20227941153464,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-25,30423793,655385,43.525089636289664,3.773337545072917,46.421253156541574,293.13927343872865,5.68064783204907
AC,2007-04-01,2007,4,41.0753440473832,,9.9794197354189,-27.6302805912146,4.095323854119036,4.18780188855873,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-24,35507502,655385,43.10801970368622,3.7637090518117335,54.178081585632874,286.05503146016883,5.6561842100028406
AC,2007-05-01,2007,5,41.9928974103063,,-26.3860195512327,-17.6059287801492,3.8858368594622097,4.13455873177337,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-23,28877193,655385,42.84849462363247,3.757670513122877,44.06141886066968,285.3002217217811,5.653542035372258
AC,2007-06-01,2007,6,42.0267554972099,,-2.02476977131063,-29.0959154128413,3.9331920358125023,4.20178039114039,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-22,30362312,655385,42.5577563333586,3.7508621259125245,46.32744417403511,284.52528361192276,5.650822119958328
AC,2007-07-01,2007,7,41.9949400794975,,-28.2092700648071,-26.466028555903,4.017667721749632,4.26290742763799,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-21,33117976,655385,41.914333835095164,3.735627864729481,50.53209334971048,285.60368790863384,5.654605143227416
AC,2007-08-01,2007,8,41.8560694471492,,-48.4410709376844,-21.8284940553624,4.023432927879848,4.24584662546935,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-20,33466061,655385,41.79868468384465,3.7328648721419486,51.06320864835173,292.58349977494146,5.678750095249338
AC,2007-09-01,2007,9,41.7847056771433,,-3.14429648068039,-12.9885301437995,3.9642319985388905,4.17254882488355,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-19,31599131,655385,41.78845202644823,3.7326200340520166,48.21460820738955,294.37685482578945,5.684860765645233
AC,2007-10-01,2007,10,40.4797728840828,,-14.4973370336425,2.31097646486606,4.101873784623018,4.19706925036674,FALSE,TRUE,FALSE,pre,TRUE,2009-03-03,2009-04-17,,-18,36370829,655385,41.68919016589817,3.7302418665636696,55.49536379380059,295.69413703395713,5.689325599248802
