Covariate,Treated,Varejo MA6 (log),ICMS CONFAZ 6m pc (log)
ICMS secondary VA pc, 6.188, 4.931, 9.561
ICMS tertiary VA pc,18.615,32.205,35.068
ICMS energy VA pc, 4.610, 4.282, 4.471
ICMS fuels VA pc,13.183,17.056,11.195
FPE transfer pc,81.070,70.483,46.347
IOF-state pc, 0.000, 0.003, 0.004
