dropped_donor,period_date,event_time,loo_gap
AC,2018-08-01,-31,0.04218063598641297
AC,2018-09-01,-30,0.04136713019576366
AC,2018-10-01,-29,0.049229630001136115
AC,2018-11-01,-28,0.04513895884513275
AC,2018-12-01,-27,0.027364814170160123
AC,2019-01-01,-26,0.055355155459426264
AC,2019-02-01,-25,0.08381486440708663
AC,2019-03-01,-24,0.08326158646989423
AC,2019-04-01,-23,0.07489248732445386
AC,2019-05-01,-22,0.08229337638475176
AC,2019-06-01,-21,0.11705593861430419
AC,2019-07-01,-20,0.09696008987955995
AC,2019-08-01,-19,0.07379302339910065
AC,2019-09-01,-18,0.07772785474863309
AC,2019-10-01,-17,0.08103006567396775
AC,2019-11-01,-16,0.07007954305555053
AC,2019-12-01,-15,0.05022783948923948
AC,2020-01-01,-14,0.056793231570695824
AC,2020-02-01,-13,0.07807747862442493
AC,2020-03-01,-12,0.0850576263600793
AC,2020-04-01,-11,0.0720295841511156
AC,2020-05-01,-10,0.08626558081579017
AC,2020-06-01,-9,0.10073090031024279
AC,2020-07-01,-8,0.1108666999223793
AC,2020-08-01,-7,0.09599863215767446
AC,2020-09-01,-6,0.08561309380608773
AC,2020-10-01,-5,0.10166544686899481
AC,2020-11-01,-4,0.07384334632124201
AC,2020-12-01,-3,0.08628514894026118
AC,2021-01-01,-2,0.08701682011039935
AC,2021-02-01,-1,0.09641859779918693
AC,2021-03-01,0,0.09100742945338869
AC,2021-04-01,1,0.08474959301078488
AC,2021-05-01,2,0.10535305263819073
AC,2021-06-01,3,0.10138047146167661
AC,2021-07-01,4,0.0784782705456335
AC,2021-08-01,5,0.09872990296142525
AC,2021-09-01,6,0.10308153799150865
AC,2021-10-01,7,0.10529728883099576
AC,2021-11-01,8,0.058285071499498464
AC,2021-12-01,9,0.012408865971059058
AC,2022-01-01,10,0.050694498637822605
AC,2022-02-01,11,0.07170721838153504
AC,2022-03-01,12,0.0629448355178166
AC,2022-04-01,13,0.08455155615528831
AC,2022-05-01,14,0.1471227784706972
AC,2022-06-01,15,0.18813212576466043
AC,2022-07-01,16,0.16606980096760093
