Covariate,Roraima,"Retail, MA6","Services, MA6"
Unemployment rate,    0.093,    0.087,    0.086
Formalization rate,    0.459,    0.513,    0.480
"Labor income (real, R$)","2,679.000","2,680.627","2,528.812"
Transfer dependency ratio,    0.000,    0.000,    0.000
"Health expenditure pc (real, R$)",  185.049,  150.997,  118.994
"Education expenditure pc (real, R$)",  165.177,  171.306,  171.185
"Public security expenditure pc (real, R$)",  100.635,   97.501,  103.650
