donor_state,scm_weight,outcome,short_label
RS,0.36785493054634666,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
RO,0.2255034207771072,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
PE,0.2085998705204481,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
AP,0.17779519914395153,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
ES,0.01366371631160711,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
SE,0.4877356558753635,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
MA,0.2644075259834887,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
MS,0.09942169721507538,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
DF,0.09633423790130562,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
MT,0.03694698949528249,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
RO,0.3697561249815155,retail_volume_index_ma6_v5,"Retail, MA6"
PB,0.30731743839800624,retail_volume_index_ma6_v5,"Retail, MA6"
CE,0.11278277866672844,retail_volume_index_ma6_v5,"Retail, MA6"
BA,0.10824668896785218,retail_volume_index_ma6_v5,"Retail, MA6"
DF,0.07806460177768614,retail_volume_index_ma6_v5,"Retail, MA6"
MA,0.41195606753450886,services_volume_index_ma6_v5,"Services, MA6"
MT,0.3490565419880481,services_volume_index_ma6_v5,"Services, MA6"
AP,0.23898739047716855,services_volume_index_ma6_v5,"Services, MA6"
AC,2.4907781163290316e-13,services_volume_index_ma6_v5,"Services, MA6"
MS,1.5677329846239347e-14,services_volume_index_ma6_v5,"Services, MA6"
PA,0.5341537906255137,state_tax_revenue_real_pc,Own tax revenue (raw)
MG,0.15668507351773772,state_tax_revenue_real_pc,Own tax revenue (raw)
DF,0.117186564597334,state_tax_revenue_real_pc,Own tax revenue (raw)
BA,0.1076936645403196,state_tax_revenue_real_pc,Own tax revenue (raw)
AC,0.0723596451644041,state_tax_revenue_real_pc,Own tax revenue (raw)
MS,0.344412810271353,icms_revenue_real_pc,ICMS (raw)
BA,0.3163863455777636,icms_revenue_real_pc,ICMS (raw)
PA,0.17075256141647024,icms_revenue_real_pc,ICMS (raw)
AC,0.09413562335845596,icms_revenue_real_pc,ICMS (raw)
DF,0.07431265937106897,icms_revenue_real_pc,ICMS (raw)
SE,0.3496724862826577,public_investment_liquidated_real_pc,Public investment (raw)
PA,0.2978599909582307,public_investment_liquidated_real_pc,Public investment (raw)
AC,0.11804796587950116,public_investment_liquidated_real_pc,Public investment (raw)
DF,0.08374964240156904,public_investment_liquidated_real_pc,Public investment (raw)
CE,0.07598483142631957,public_investment_liquidated_real_pc,Public investment (raw)
PA,0.5759084275705532,liquidated_expenditure_total_real_pc,Total expenditure (raw)
AP,0.13789983748132403,liquidated_expenditure_total_real_pc,Total expenditure (raw)
DF,0.09429868418282776,liquidated_expenditure_total_real_pc,Total expenditure (raw)
RO,0.07899367560830829,liquidated_expenditure_total_real_pc,Total expenditure (raw)
RN,0.02997210447538044,liquidated_expenditure_total_real_pc,Total expenditure (raw)
